date,Rolladengurt reparieren,isPartial
2018-01-07,55,False
2018-01-14,37,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,100,False
2018-02-11,47,False
2018-02-18,28,False
2018-02-25,42,False
2018-03-04,42,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,30,False
2018-04-01,30,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,57,False
2018-05-20,45,False
2018-05-27,49,False
2018-06-03,29,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,29,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,59,False
2018-08-05,29,False
2018-08-12,30,False
2018-08-19,39,False
2018-08-26,87,False
2018-09-02,29,False
2018-09-09,29,False
2018-09-16,0,False
2018-09-23,43,False
2018-09-30,57,False
2018-10-07,29,False
2018-10-14,28,False
2018-10-21,56,False
2018-10-28,56,False
2018-11-04,27,False
2018-11-11,42,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,57,False
2018-12-23,33,False
2018-12-30,30,False
2019-01-06,53,False
2019-01-13,0,False
2019-01-20,26,False
2019-01-27,0,False
2019-02-03,26,False
2019-02-10,36,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,53,False
2019-03-17,27,False
2019-03-24,0,False
2019-03-31,27,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,57,False
2019-04-28,53,False
2019-05-05,26,False
2019-05-12,27,False
2019-05-19,40,False
2019-05-26,55,False
2019-06-02,40,False
2019-06-09,28,False
2019-06-16,55,False
2019-06-23,55,False
2019-06-30,81,False
2019-07-07,27,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,29,False
2019-08-04,57,False
2019-08-11,27,False
2019-08-18,28,False
2019-08-25,28,False
2019-09-01,26,False
2019-09-08,40,False
2019-09-15,41,False
2019-09-22,26,False
2019-09-29,0,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,63,False
2019-11-03,24,False
2019-11-10,25,False
2019-11-17,37,False
2019-11-24,25,False
2019-12-01,50,False
2019-12-08,25,False
2019-12-15,39,False
2019-12-22,0,False
2019-12-29,36,False
2020-01-05,24,False
2020-01-12,24,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,71,False
2020-02-09,46,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,21,False
2020-03-29,29,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,63,False
2020-05-03,22,False
2020-05-10,0,False
