date,Make Up Braut,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,94,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,95,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,67,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,35,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,70,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,0,False
2018-08-26,97,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,35,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,67,False
2018-12-02,33,False
2018-12-09,0,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,72,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,0,False
2019-02-03,31,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,32,False
2019-03-31,48,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,67,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,33,False
2019-07-07,33,False
2019-07-14,0,False
2019-07-21,35,False
2019-07-28,70,False
2019-08-04,100,False
2019-08-11,31,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,63,False
2019-09-29,33,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,30,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,0,False
2020-01-12,57,False
2020-01-19,29,False
2020-01-26,28,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,0,False
2020-03-01,28,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,53,False
2020-03-29,26,False
2020-04-05,0,False
2020-04-12,0,True
