date,Make Up Braut,isPartial
2018-01-07,40,False
2018-01-14,0,False
2018-01-21,20,False
2018-01-28,40,False
2018-02-04,21,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,81,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,21,False
2018-03-25,43,False
2018-04-01,43,False
2018-04-08,20,False
2018-04-15,0,False
2018-04-22,100,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,22,False
2018-05-27,0,False
2018-06-03,20,False
2018-06-10,0,False
2018-06-17,20,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,42,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,42,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,21,False
2018-09-16,20,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,0,False
2018-10-14,21,False
2018-10-21,41,False
2018-10-28,20,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,39,False
2018-12-09,20,False
2018-12-16,20,False
2018-12-23,69,False
2018-12-30,21,False
2019-01-06,57,False
2019-01-13,19,False
2019-01-20,0,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,39,False
2019-02-24,0,False
2019-03-03,19,False
2019-03-10,37,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,59,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,58,False
2019-05-19,57,False
2019-05-26,40,False
2019-06-02,19,False
2019-06-09,59,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,38,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,22,False
2019-07-28,21,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,20,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,39,False
2019-09-22,0,False
2019-09-29,38,False
2019-10-06,37,False
2019-10-13,38,False
2019-10-20,19,False
2019-10-27,19,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,52,False
2020-01-12,49,False
2020-01-19,17,False
2020-01-26,69,False
2020-02-02,17,False
2020-02-09,33,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,47,False
2020-03-15,31,False
2020-03-22,15,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,True
