date,Energieausweis,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,85,False
2018-02-11,0,False
2018-02-18,35,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,50,False
2018-03-18,34,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,35,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,100,False
2018-05-20,35,False
2018-05-27,36,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,71,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,37,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,69,False
2018-10-21,34,False
2018-10-28,0,False
2018-11-04,33,False
2018-11-11,0,False
2018-11-18,65,False
2018-11-25,33,False
2018-12-02,34,False
2018-12-09,51,False
2018-12-16,0,False
2018-12-23,39,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,31,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,93,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,65,False
2019-03-24,32,False
2019-03-31,33,False
2019-04-07,32,False
2019-04-14,34,False
2019-04-21,34,False
2019-04-28,63,False
2019-05-05,30,False
2019-05-12,46,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,68,False
2019-07-21,36,False
2019-07-28,34,False
2019-08-04,36,False
2019-08-11,68,False
2019-08-18,33,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,32,False
2019-09-15,68,False
2019-09-22,64,False
2019-09-29,0,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,33,False
2019-10-27,31,False
2019-11-03,61,False
2019-11-10,31,False
2019-11-17,62,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,0,False
2019-12-15,65,False
2019-12-22,36,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,43,False
2020-01-19,0,False
2020-01-26,29,False
2020-02-02,28,False
2020-02-09,58,False
2020-02-16,77,False
2020-02-23,57,False
2020-03-01,43,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,83,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,26,False
2020-05-17,29,False
2020-05-24,26,False
2020-05-31,41,False
2020-06-07,0,False
2020-06-14,53,False
2020-06-21,0,False
2020-06-28,28,False
2020-07-05,29,False
