date,rénovation de maison,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,33,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,36,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,35,False
2018-06-24,35,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,37,False
2018-07-22,36,False
2018-07-29,53,False
2018-08-05,35,False
2018-08-12,53,False
2018-08-19,68,False
2018-08-26,34,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,67,False
2018-09-23,34,False
2018-09-30,67,False
2018-10-07,34,False
2018-10-14,46,False
2018-10-21,34,False
2018-10-28,32,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,62,False
2018-11-25,0,False
2018-12-02,41,False
2018-12-09,32,False
2018-12-16,49,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,30,False
2019-02-10,32,False
2019-02-17,34,False
2019-02-24,32,False
2019-03-03,30,False
2019-03-10,31,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,63,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,32,False
2019-04-28,30,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,30,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,31,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,29,False
2019-10-20,0,False
2019-10-27,42,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,56,False
2019-11-24,36,False
2019-12-01,28,False
2019-12-08,41,False
2019-12-15,28,False
2019-12-22,29,False
2019-12-29,29,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,53,False
2020-02-02,41,False
2020-02-09,27,False
2020-02-16,54,False
2020-02-23,53,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,0,False
2020-05-17,26,False
2020-05-24,25,False
2020-05-31,24,False
2020-06-07,25,False
2020-06-14,25,False
2020-06-21,93,True
