date,partition guitare,isPartial
2018-01-07,30,False
2018-01-14,30,False
2018-01-21,20,False
2018-01-28,61,False
2018-02-04,0,False
2018-02-11,41,False
2018-02-18,41,False
2018-02-25,51,False
2018-03-04,40,False
2018-03-11,39,False
2018-03-18,20,False
2018-03-25,39,False
2018-04-01,60,False
2018-04-08,60,False
2018-04-15,43,False
2018-04-22,0,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,41,False
2018-05-27,0,False
2018-06-03,100,False
2018-06-10,29,False
2018-06-17,40,False
2018-06-24,31,False
2018-07-01,41,False
2018-07-08,42,False
2018-07-15,45,False
2018-07-22,46,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,24,False
2018-08-19,57,False
2018-08-26,42,False
2018-09-02,21,False
2018-09-09,41,False
2018-09-16,0,False
2018-09-23,41,False
2018-09-30,41,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,42,False
2018-10-28,51,False
2018-11-04,49,False
2018-11-11,39,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,20,False
2018-12-23,46,False
2018-12-30,22,False
2019-01-06,48,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,20,False
2019-02-17,21,False
2019-02-24,19,False
2019-03-03,38,False
2019-03-10,58,False
2019-03-17,59,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,38,False
2019-04-14,42,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,0,False
2019-05-12,17,False
2019-05-19,17,False
2019-05-26,43,False
2019-06-02,16,False
2019-06-09,35,False
2019-06-16,56,False
2019-06-23,18,False
2019-06-30,35,False
2019-07-07,19,False
2019-07-14,19,False
2019-07-21,29,False
2019-07-28,19,False
2019-08-04,0,False
2019-08-11,21,False
2019-08-18,33,False
2019-08-25,20,False
2019-09-01,37,False
2019-09-08,40,False
2019-09-15,29,False
2019-09-22,51,False
2019-09-29,16,False
2019-10-06,32,False
2019-10-13,16,False
2019-10-20,33,False
2019-10-27,41,False
2019-11-03,24,False
2019-11-10,46,False
2019-11-17,0,False
2019-11-24,53,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,27,False
2019-12-22,58,False
2019-12-29,18,False
2020-01-05,64,False
2020-01-12,30,False
2020-01-19,23,False
2020-01-26,15,False
2020-02-02,30,False
2020-02-09,38,False
2020-02-16,48,False
2020-02-23,31,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,35,False
2020-03-22,41,False
2020-03-29,41,False
2020-04-05,48,False
2020-04-12,42,False
2020-04-19,35,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,27,False
2020-05-17,17,True
