date,Glasbau,isPartial
2018-01-07,57,False
2018-01-14,48,False
2018-01-21,65,False
2018-01-28,60,False
2018-02-04,25,False
2018-02-11,26,False
2018-02-18,34,False
2018-02-25,25,False
2018-03-04,50,False
2018-03-11,25,False
2018-03-18,51,False
2018-03-25,36,False
2018-04-01,56,False
2018-04-08,26,False
2018-04-15,35,False
2018-04-22,90,False
2018-04-29,52,False
2018-05-06,26,False
2018-05-13,63,False
2018-05-20,40,False
2018-05-27,40,False
2018-06-03,42,False
2018-06-10,36,False
2018-06-17,0,False
2018-06-24,36,False
2018-07-01,84,False
2018-07-08,32,False
2018-07-15,25,False
2018-07-22,24,False
2018-07-29,50,False
2018-08-05,52,False
2018-08-12,27,False
2018-08-19,27,False
2018-08-26,27,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,51,False
2018-09-23,51,False
2018-09-30,25,False
2018-10-07,37,False
2018-10-14,50,False
2018-10-21,25,False
2018-10-28,100,False
2018-11-04,64,False
2018-11-11,37,False
2018-11-18,24,False
2018-11-25,72,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,75,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,69,False
2019-01-13,34,False
2019-01-20,23,False
2019-01-27,34,False
2019-02-03,57,False
2019-02-10,23,False
2019-02-17,39,False
2019-02-24,48,False
2019-03-03,88,False
2019-03-10,47,False
2019-03-17,33,False
2019-03-24,49,False
2019-03-31,49,False
2019-04-07,40,False
2019-04-14,26,False
2019-04-21,64,False
2019-04-28,24,False
2019-05-05,39,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,37,False
2019-06-09,42,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,40,False
2019-07-07,30,False
2019-07-14,48,False
2019-07-21,50,False
2019-07-28,40,False
2019-08-04,25,False
2019-08-11,34,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,40,False
2019-09-08,59,False
2019-09-15,36,False
2019-09-22,0,False
2019-09-29,47,False
2019-10-06,23,False
2019-10-13,68,False
2019-10-20,53,False
2019-10-27,22,False
2019-11-03,37,False
2019-11-10,33,False
2019-11-17,30,False
2019-11-24,43,False
2019-12-01,46,False
2019-12-08,45,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,42,False
2020-01-19,50,False
2020-01-26,43,False
2020-02-02,31,False
2020-02-09,31,False
2020-02-16,65,False
2020-02-23,75,False
2020-03-01,42,False
2020-03-08,60,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,38,False
2020-04-05,35,False
2020-04-12,33,False
2020-04-19,26,False
2020-04-26,51,False
2020-05-03,69,False
2020-05-10,59,False
