date,Dielenboden verlegen,isPartial
2018-01-07,32,False
2018-01-14,47,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,54,False
2018-02-11,32,False
2018-02-18,54,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,51,False
2018-04-01,69,False
2018-04-08,33,False
2018-04-15,33,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,34,False
2018-05-13,64,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,32,False
2018-06-10,73,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,48,False
2018-07-08,80,False
2018-07-15,55,False
2018-07-22,33,False
2018-07-29,33,False
2018-08-05,82,False
2018-08-12,56,False
2018-08-19,33,False
2018-08-26,33,False
2018-09-02,54,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,48,False
2018-09-30,32,False
2018-10-07,54,False
2018-10-14,0,False
2018-10-21,48,False
2018-10-28,63,False
2018-11-04,46,False
2018-11-11,32,False
2018-11-18,61,False
2018-11-25,62,False
2018-12-02,51,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,74,False
2018-12-30,33,False
2019-01-06,30,False
2019-01-13,39,False
2019-01-20,58,False
2019-01-27,29,False
2019-02-03,45,False
2019-02-10,91,False
2019-02-17,30,False
2019-02-24,31,False
2019-03-03,40,False
2019-03-10,44,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,30,False
2019-04-14,100,False
2019-04-21,49,False
2019-04-28,50,False
2019-05-05,0,False
2019-05-12,61,False
2019-05-19,30,False
2019-05-26,94,False
2019-06-02,40,False
2019-06-09,0,False
2019-06-16,31,False
2019-06-23,62,False
2019-06-30,31,False
2019-07-07,30,False
2019-07-14,63,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,49,False
2019-08-11,62,False
2019-08-18,32,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,0,False
2019-09-15,77,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,29,False
2019-10-13,49,False
2019-10-20,39,False
2019-10-27,67,False
2019-11-03,56,False
2019-11-10,47,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,28,False
2019-12-08,43,False
2019-12-15,29,False
2019-12-22,49,False
2019-12-29,77,False
2020-01-05,37,False
2020-01-12,53,False
2020-01-19,45,False
2020-01-26,27,False
2020-02-02,40,False
2020-02-09,61,False
2020-02-16,41,False
2020-02-23,53,False
2020-03-01,39,False
2020-03-08,58,False
2020-03-15,36,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,40,False
2020-04-12,51,False
2020-04-19,61,False
2020-04-26,24,False
2020-05-03,24,False
2020-05-10,49,False
