date,psychologue enfant,isPartial
2018-01-07,43,False
2018-01-14,32,False
2018-01-21,63,False
2018-01-28,22,False
2018-02-04,43,False
2018-02-11,32,False
2018-02-18,22,False
2018-02-25,20,False
2018-03-04,31,False
2018-03-11,42,False
2018-03-18,22,False
2018-03-25,100,False
2018-04-01,23,False
2018-04-08,45,False
2018-04-15,74,False
2018-04-22,23,False
2018-04-29,45,False
2018-05-06,0,False
2018-05-13,45,False
2018-05-20,23,False
2018-05-27,34,False
2018-06-03,45,False
2018-06-10,36,False
2018-06-17,46,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,36,False
2018-07-29,24,False
2018-08-05,37,False
2018-08-12,25,False
2018-08-19,24,False
2018-08-26,61,False
2018-09-02,31,False
2018-09-09,23,False
2018-09-16,54,False
2018-09-23,38,False
2018-09-30,46,False
2018-10-07,68,False
2018-10-14,47,False
2018-10-21,35,False
2018-10-28,57,False
2018-11-04,44,False
2018-11-11,60,False
2018-11-18,55,False
2018-11-25,67,False
2018-12-02,66,False
2018-12-09,56,False
2018-12-16,23,False
2018-12-23,37,False
2018-12-30,39,False
2019-01-06,36,False
2019-01-13,36,False
2019-01-20,52,False
2019-01-27,68,False
2019-02-03,35,False
2019-02-10,29,False
2019-02-17,34,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,35,False
2019-03-17,78,False
2019-03-24,43,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,55,False
2019-05-19,41,False
2019-05-26,43,False
2019-06-02,21,False
2019-06-09,0,False
2019-06-16,49,False
2019-06-23,35,False
2019-06-30,42,False
2019-07-07,21,False
2019-07-14,43,False
2019-07-21,21,False
2019-07-28,22,False
2019-08-04,33,False
2019-08-11,23,False
2019-08-18,24,False
2019-08-25,52,False
2019-09-01,46,False
2019-09-08,40,False
2019-09-15,89,False
2019-09-22,39,False
2019-09-29,61,False
2019-10-06,34,False
2019-10-13,40,False
2019-10-20,27,False
2019-10-27,52,False
2019-11-03,38,False
2019-11-10,38,False
2019-11-17,25,False
2019-11-24,55,False
2019-12-01,43,False
2019-12-08,27,False
2019-12-15,56,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,44,False
2020-01-12,24,False
2020-01-19,74,False
2020-01-26,36,False
2020-02-02,60,False
2020-02-09,47,False
2020-02-16,17,False
2020-02-23,26,False
2020-03-01,35,False
2020-03-08,17,False
2020-03-15,67,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,16,False
2020-04-19,16,False
2020-04-26,16,False
2020-05-03,47,False
2020-05-10,16,False
2020-05-17,41,True
