date,psychologue enfant,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,61,False
2018-02-11,31,False
2018-02-18,32,False
2018-02-25,33,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,32,False
2018-04-01,48,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,64,False
2018-04-29,100,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,33,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,33,False
2018-07-15,35,False
2018-07-22,34,False
2018-07-29,68,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,50,False
2018-09-09,33,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,65,False
2018-10-14,67,False
2018-10-21,0,False
2018-10-28,33,False
2018-11-04,52,False
2018-11-11,0,False
2018-11-18,30,False
2018-11-25,29,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,35,False
2018-12-30,0,False
2019-01-06,60,False
2019-01-13,0,False
2019-01-20,60,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,29,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,31,False
2019-03-31,97,False
2019-04-07,34,False
2019-04-14,34,False
2019-04-21,32,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,32,False
2019-06-02,29,False
2019-06-09,0,False
2019-06-16,63,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,92,False
2019-09-15,60,False
2019-09-22,38,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,43,False
2019-10-27,37,False
2019-11-03,46,False
2019-11-10,28,False
2019-11-17,98,False
2019-11-24,36,False
2019-12-01,41,False
2019-12-08,46,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,50,False
2020-01-05,27,False
2020-01-12,61,False
2020-01-19,55,False
2020-01-26,26,False
2020-02-02,45,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,52,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,44,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,46,False
2020-04-19,22,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,23,False
2020-05-17,57,True
