date,reparateur volet roulant,isPartial
2018-01-07,20,False
2018-01-14,40,False
2018-01-21,20,False
2018-01-28,41,False
2018-02-04,20,False
2018-02-11,34,False
2018-02-18,52,False
2018-02-25,62,False
2018-03-04,20,False
2018-03-11,31,False
2018-03-18,21,False
2018-03-25,42,False
2018-04-01,31,False
2018-04-08,41,False
2018-04-15,29,False
2018-04-22,43,False
2018-04-29,21,False
2018-05-06,33,False
2018-05-13,27,False
2018-05-20,32,False
2018-05-27,20,False
2018-06-03,48,False
2018-06-10,26,False
2018-06-17,35,False
2018-06-24,21,False
2018-07-01,30,False
2018-07-08,21,False
2018-07-15,30,False
2018-07-22,45,False
2018-07-29,90,False
2018-08-05,52,False
2018-08-12,46,False
2018-08-19,37,False
2018-08-26,28,False
2018-09-02,35,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,28,False
2018-09-30,21,False
2018-10-07,28,False
2018-10-14,35,False
2018-10-21,32,False
2018-10-28,42,False
2018-11-04,41,False
2018-11-11,41,False
2018-11-18,40,False
2018-11-25,20,False
2018-12-02,41,False
2018-12-09,41,False
2018-12-16,42,False
2018-12-23,95,False
2018-12-30,33,False
2019-01-06,31,False
2019-01-13,40,False
2019-01-20,46,False
2019-01-27,33,False
2019-02-03,20,False
2019-02-10,21,False
2019-02-17,21,False
2019-02-24,21,False
2019-03-03,30,False
2019-03-10,20,False
2019-03-17,85,False
2019-03-24,28,False
2019-03-31,34,False
2019-04-07,31,False
2019-04-14,42,False
2019-04-21,21,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,30,False
2019-05-19,33,False
2019-05-26,31,False
2019-06-02,19,False
2019-06-09,20,False
2019-06-16,61,False
2019-06-23,60,False
2019-06-30,54,False
2019-07-07,100,False
2019-07-14,42,False
2019-07-21,50,False
2019-07-28,43,False
2019-08-04,54,False
2019-08-11,43,False
2019-08-18,50,False
2019-08-25,41,False
2019-09-01,29,False
2019-09-08,29,False
2019-09-15,26,False
2019-09-22,28,False
2019-09-29,37,False
2019-10-06,38,False
2019-10-13,0,False
2019-10-20,19,False
2019-10-27,38,False
2019-11-03,43,False
2019-11-10,43,False
2019-11-17,31,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,18,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,24,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,35,False
2020-02-02,44,False
2020-02-09,0,False
2020-02-16,45,False
2020-02-23,23,False
2020-03-01,17,False
2020-03-08,34,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,24,False
2020-04-12,16,False
2020-04-19,27,False
2020-04-26,45,False
2020-05-03,30,False
2020-05-10,32,False
2020-05-17,34,False
2020-05-24,22,False
2020-05-31,21,False
2020-06-07,24,False
2020-06-14,25,False
2020-06-21,0,True
