date,climatisation maison,isPartial
2018-01-07,3,False
2018-01-14,4,False
2018-01-21,2,False
2018-01-28,2,False
2018-02-04,3,False
2018-02-11,5,False
2018-02-18,2,False
2018-02-25,4,False
2018-03-04,2,False
2018-03-11,4,False
2018-03-18,3,False
2018-03-25,3,False
2018-04-01,3,False
2018-04-08,2,False
2018-04-15,6,False
2018-04-22,7,False
2018-04-29,3,False
2018-05-06,6,False
2018-05-13,4,False
2018-05-20,7,False
2018-05-27,9,False
2018-06-03,5,False
2018-06-10,3,False
2018-06-17,13,False
2018-06-24,10,False
2018-07-01,30,False
2018-07-08,17,False
2018-07-15,11,False
2018-07-22,31,False
2018-07-29,68,False
2018-08-05,55,False
2018-08-12,11,False
2018-08-19,8,False
2018-08-26,8,False
2018-09-02,4,False
2018-09-09,6,False
2018-09-16,6,False
2018-09-23,8,False
2018-09-30,10,False
2018-10-07,5,False
2018-10-14,4,False
2018-10-21,4,False
2018-10-28,8,False
2018-11-04,4,False
2018-11-11,2,False
2018-11-18,5,False
2018-11-25,4,False
2018-12-02,3,False
2018-12-09,2,False
2018-12-16,5,False
2018-12-23,2,False
2018-12-30,4,False
2019-01-06,2,False
2019-01-13,3,False
2019-01-20,6,False
2019-01-27,2,False
2019-02-03,4,False
2019-02-10,4,False
2019-02-17,2,False
2019-02-24,3,False
2019-03-03,3,False
2019-03-10,4,False
2019-03-17,6,False
2019-03-24,8,False
2019-03-31,3,False
2019-04-07,5,False
2019-04-14,4,False
2019-04-21,5,False
2019-04-28,4,False
2019-05-05,4,False
2019-05-12,4,False
2019-05-19,6,False
2019-05-26,9,False
2019-06-02,29,False
2019-06-09,6,False
2019-06-16,24,False
2019-06-23,100,False
2019-06-30,46,False
2019-07-07,16,False
2019-07-14,13,False
2019-07-21,80,False
2019-07-28,15,False
2019-08-04,13,False
2019-08-11,4,False
2019-08-18,7,False
2019-08-25,7,False
2019-09-01,7,False
2019-09-08,4,False
2019-09-15,6,False
2019-09-22,3,False
2019-09-29,6,False
2019-10-06,3,False
2019-10-13,3,False
2019-10-20,4,False
2019-10-27,4,False
2019-11-03,5,False
2019-11-10,7,False
2019-11-17,3,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,4,False
2019-12-15,6,False
2019-12-22,4,False
2019-12-29,3,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,5,False
2020-01-26,9,False
2020-02-02,6,False
2020-02-09,6,False
2020-02-16,8,False
2020-02-23,7,False
2020-03-01,7,False
2020-03-08,6,False
2020-03-15,3,False
2020-03-22,2,False
2020-03-29,5,False
2020-04-05,7,False
2020-04-12,4,False
2020-04-19,7,False
2020-04-26,8,False
2020-05-03,11,False
2020-05-10,9,False
2020-05-17,21,True
