date,climatisation maison,isPartial
2018-01-07,23,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,22,False
2018-02-11,22,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,22,False
2018-03-25,0,False
2018-04-01,24,False
2018-04-08,0,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,23,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,23,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,69,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,42,False
2018-07-29,59,False
2018-08-05,100,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,32,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,0,False
2018-10-07,47,False
2018-10-14,48,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,23,False
2019-01-13,0,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,22,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,23,False
2019-06-02,33,False
2019-06-09,21,False
2019-06-16,22,False
2019-06-23,44,False
2019-06-30,79,False
2019-07-07,22,False
2019-07-14,0,False
2019-07-21,44,False
2019-07-28,35,False
2019-08-04,22,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,22,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,19,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,19,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,26,False
2019-12-08,17,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,17,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,17,False
2020-02-09,0,False
2020-02-16,18,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,15,False
2020-04-19,15,False
2020-04-26,28,False
2020-05-03,15,False
2020-05-10,22,False
2020-05-17,0,True
