date,climatisation maison,isPartial
2018-01-07,7,False
2018-01-14,7,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,7,False
2018-02-11,8,False
2018-02-18,0,False
2018-02-25,12,False
2018-03-04,8,False
2018-03-11,8,False
2018-03-18,8,False
2018-03-25,8,False
2018-04-01,8,False
2018-04-08,8,False
2018-04-15,16,False
2018-04-22,0,False
2018-04-29,24,False
2018-05-06,16,False
2018-05-13,11,False
2018-05-20,12,False
2018-05-27,25,False
2018-06-03,15,False
2018-06-10,11,False
2018-06-17,12,False
2018-06-24,10,False
2018-07-01,52,False
2018-07-08,10,False
2018-07-15,29,False
2018-07-22,69,False
2018-07-29,60,False
2018-08-05,66,False
2018-08-12,15,False
2018-08-19,18,False
2018-08-26,16,False
2018-09-02,8,False
2018-09-09,0,False
2018-09-16,7,False
2018-09-23,7,False
2018-09-30,11,False
2018-10-07,0,False
2018-10-14,14,False
2018-10-21,0,False
2018-10-28,12,False
2018-11-04,0,False
2018-11-11,11,False
2018-11-18,7,False
2018-11-25,7,False
2018-12-02,0,False
2018-12-09,8,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,9,False
2019-01-06,8,False
2019-01-13,7,False
2019-01-20,7,False
2019-01-27,0,False
2019-02-03,7,False
2019-02-10,7,False
2019-02-17,0,False
2019-02-24,8,False
2019-03-03,7,False
2019-03-10,0,False
2019-03-17,8,False
2019-03-24,8,False
2019-03-31,8,False
2019-04-07,16,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,8,False
2019-05-05,8,False
2019-05-12,16,False
2019-05-19,10,False
2019-05-26,8,False
2019-06-02,31,False
2019-06-09,8,False
2019-06-16,24,False
2019-06-23,84,False
2019-06-30,24,False
2019-07-07,37,False
2019-07-14,30,False
2019-07-21,100,False
2019-07-28,22,False
2019-08-04,10,False
2019-08-11,18,False
2019-08-18,15,False
2019-08-25,17,False
2019-09-01,8,False
2019-09-08,0,False
2019-09-15,15,False
2019-09-22,7,False
2019-09-29,7,False
2019-10-06,15,False
2019-10-13,8,False
2019-10-20,8,False
2019-10-27,8,False
2019-11-03,0,False
2019-11-10,8,False
2019-11-17,8,False
2019-11-24,7,False
2019-12-01,14,False
2019-12-08,7,False
2019-12-15,23,False
2019-12-22,9,False
2019-12-29,8,False
2020-01-05,15,False
2020-01-12,7,False
2020-01-19,7,False
2020-01-26,12,False
2020-02-02,7,False
2020-02-09,15,False
2020-02-16,8,False
2020-02-23,11,False
2020-03-01,10,False
2020-03-08,7,False
2020-03-15,7,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,7,False
2020-04-12,18,False
2020-04-19,11,False
2020-04-26,18,False
2020-05-03,14,False
2020-05-10,19,False
2020-05-17,26,True
