date,mazzo di fiori,isPartial
2018-01-07,29,False
2018-01-14,29,False
2018-01-21,0,False
2018-01-28,58,False
2018-02-04,43,False
2018-02-11,32,False
2018-02-18,29,False
2018-02-25,28,False
2018-03-04,45,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,31,False
2018-04-01,49,False
2018-04-08,31,False
2018-04-15,0,False
2018-04-22,48,False
2018-04-29,63,False
2018-05-06,30,False
2018-05-13,31,False
2018-05-20,61,False
2018-05-27,32,False
2018-06-03,47,False
2018-06-10,58,False
2018-06-17,60,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,76,False
2018-07-15,32,False
2018-07-22,63,False
2018-07-29,32,False
2018-08-05,100,False
2018-08-12,72,False
2018-08-19,36,False
2018-08-26,33,False
2018-09-02,31,False
2018-09-09,60,False
2018-09-16,58,False
2018-09-23,0,False
2018-09-30,59,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,30,False
2018-11-04,30,False
2018-11-11,33,False
2018-11-18,63,False
2018-11-25,31,False
2018-12-02,49,False
2018-12-09,0,False
2018-12-16,64,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,28,False
2019-01-27,43,False
2019-02-03,29,False
2019-02-10,88,False
2019-02-17,29,False
2019-02-24,59,False
2019-03-03,31,False
2019-03-10,58,False
2019-03-17,61,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,30,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,30,False
2019-05-05,0,False
2019-05-12,59,False
2019-05-19,29,False
2019-05-26,56,False
2019-06-02,46,False
2019-06-09,64,False
2019-06-16,31,False
2019-06-23,32,False
2019-06-30,33,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,32,False
2019-07-28,97,False
2019-08-04,34,False
2019-08-11,74,False
2019-08-18,34,False
2019-08-25,30,False
2019-09-01,85,False
2019-09-08,29,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,27,False
2019-10-06,87,False
2019-10-13,85,False
2019-10-20,56,False
2019-10-27,27,False
2019-11-03,52,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,58,False
2019-12-08,43,False
2019-12-15,29,False
2019-12-22,32,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,68,False
2020-01-19,82,False
2020-01-26,27,False
2020-02-02,26,False
2020-02-09,41,False
2020-02-16,55,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,48,False
2020-04-12,24,False
2020-04-19,21,False
2020-04-26,38,True
