date,mazzo di fiori,isPartial
2018-01-07,39,False
2018-01-14,0,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,47,False
2018-03-04,100,False
2018-03-11,38,False
2018-03-18,37,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,26,False
2018-04-22,27,False
2018-04-29,26,False
2018-05-06,26,False
2018-05-13,52,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,48,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,0,False
2018-07-08,50,False
2018-07-15,25,False
2018-07-22,37,False
2018-07-29,99,False
2018-08-05,24,False
2018-08-12,22,False
2018-08-19,43,False
2018-08-26,23,False
2018-09-02,71,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,51,False
2018-09-30,25,False
2018-10-07,54,False
2018-10-14,53,False
2018-10-21,39,False
2018-10-28,26,False
2018-11-04,26,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,28,False
2018-12-30,51,False
2019-01-06,50,False
2019-01-13,25,False
2019-01-20,0,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,0,False
2019-02-24,47,False
2019-03-03,100,False
2019-03-10,47,False
2019-03-17,49,False
2019-03-24,24,False
2019-03-31,48,False
2019-04-07,23,False
2019-04-14,25,False
2019-04-21,37,False
2019-04-28,46,False
2019-05-05,58,False
2019-05-12,23,False
2019-05-19,35,False
2019-05-26,0,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,0,False
2019-06-23,48,False
2019-06-30,24,False
2019-07-07,0,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,23,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,45,False
2019-10-13,0,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,32,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,0,False
2020-01-26,21,False
2020-02-02,31,False
2020-02-09,42,False
2020-02-16,0,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,18,False
2020-03-15,18,False
2020-03-22,34,False
2020-03-29,25,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,34,False
2020-04-26,46,True
