date,mazzo di fiori,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,37,False
2018-01-28,59,False
2018-02-04,36,False
2018-02-11,49,False
2018-02-18,50,False
2018-02-25,49,False
2018-03-04,50,False
2018-03-11,37,False
2018-03-18,52,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,52,False
2018-04-15,55,False
2018-04-22,56,False
2018-04-29,54,False
2018-05-06,52,False
2018-05-13,39,False
2018-05-20,26,False
2018-05-27,0,False
2018-06-03,39,False
2018-06-10,0,False
2018-06-17,26,False
2018-06-24,52,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,27,False
2018-08-26,50,False
2018-09-02,50,False
2018-09-09,26,False
2018-09-16,50,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,0,False
2018-10-14,68,False
2018-10-21,52,False
2018-10-28,50,False
2018-11-04,76,False
2018-11-11,40,False
2018-11-18,26,False
2018-11-25,26,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,31,False
2018-12-30,42,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,47,False
2019-02-03,24,False
2019-02-10,72,False
2019-02-17,37,False
2019-02-24,48,False
2019-03-03,75,False
2019-03-10,50,False
2019-03-17,25,False
2019-03-24,26,False
2019-03-31,73,False
2019-04-07,0,False
2019-04-14,25,False
2019-04-21,26,False
2019-04-28,24,False
2019-05-05,59,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,50,False
2019-06-30,25,False
2019-07-07,76,False
2019-07-14,53,False
2019-07-21,78,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,66,False
2019-08-25,0,False
2019-09-01,35,False
2019-09-08,37,False
2019-09-15,25,False
2019-09-22,36,False
2019-09-29,47,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,35,False
2019-10-27,93,False
2019-11-03,45,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,47,False
2019-12-22,54,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,22,False
2020-01-19,44,False
2020-01-26,21,False
2020-02-02,22,False
2020-02-09,66,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,30,False
2020-03-08,20,False
2020-03-15,40,False
2020-03-22,19,False
2020-03-29,38,False
2020-04-05,100,False
2020-04-12,20,False
2020-04-19,77,False
2020-04-26,50,True
