date,mazzo di fiori,isPartial
2018-01-07,24,False
2018-01-14,0,False
2018-01-21,36,False
2018-01-28,24,False
2018-02-04,47,False
2018-02-11,62,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,76,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,83,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,51,False
2018-04-22,27,False
2018-04-29,26,False
2018-05-06,53,False
2018-05-13,52,False
2018-05-20,53,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,51,False
2018-07-01,52,False
2018-07-08,52,False
2018-07-15,53,False
2018-07-22,26,False
2018-07-29,37,False
2018-08-05,24,False
2018-08-12,0,False
2018-08-19,23,False
2018-08-26,0,False
2018-09-02,25,False
2018-09-09,76,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,37,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,25,False
2018-11-04,0,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,79,False
2019-01-06,25,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,25,False
2019-02-03,24,False
2019-02-10,36,False
2019-02-17,24,False
2019-02-24,49,False
2019-03-03,78,False
2019-03-10,50,False
2019-03-17,25,False
2019-03-24,62,False
2019-03-31,24,False
2019-04-07,50,False
2019-04-14,26,False
2019-04-21,27,False
2019-04-28,50,False
2019-05-05,25,False
2019-05-12,48,False
2019-05-19,37,False
2019-05-26,35,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,25,False
2019-08-18,23,False
2019-08-25,0,False
2019-09-01,45,False
2019-09-08,36,False
2019-09-15,47,False
2019-09-22,24,False
2019-09-29,0,False
2019-10-06,24,False
2019-10-13,37,False
2019-10-20,35,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,49,False
2019-11-24,48,False
2019-12-01,25,False
2019-12-08,50,False
2019-12-15,0,False
2019-12-22,55,False
2019-12-29,26,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,23,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,24,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,22,False
2020-03-08,31,False
2020-03-15,29,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,40,False
2020-04-12,31,False
2020-04-19,19,False
2020-04-26,100,True
