date,Schiebetor,isPartial
2018-01-07,31,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,63,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,64,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,35,False
2018-04-22,100,False
2018-04-29,0,False
2018-05-06,35,False
2018-05-13,33,False
2018-05-20,34,False
2018-05-27,49,False
2018-06-03,32,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,51,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,50,False
2018-08-12,49,False
2018-08-19,32,False
2018-08-26,33,False
2018-09-02,0,False
2018-09-09,50,False
2018-09-16,33,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,44,False
2018-10-14,65,False
2018-10-21,33,False
2018-10-28,49,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,46,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,49,False
2018-12-30,31,False
2019-01-06,44,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,0,False
2019-02-10,39,False
2019-02-17,30,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,29,False
2019-03-17,91,False
2019-03-24,30,False
2019-03-31,47,False
2019-04-07,31,False
2019-04-14,33,False
2019-04-21,0,False
2019-04-28,59,False
2019-05-05,29,False
2019-05-12,60,False
2019-05-19,30,False
2019-05-26,60,False
2019-06-02,30,False
2019-06-09,30,False
2019-06-16,0,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,43,False
2019-08-18,58,False
2019-08-25,28,False
2019-09-01,43,False
2019-09-08,0,False
2019-09-15,59,False
2019-09-22,29,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,0,False
2019-11-03,26,False
2019-11-10,27,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,54,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,76,False
2020-01-12,50,False
2020-01-19,76,False
2020-01-26,0,False
2020-02-02,27,False
2020-02-09,0,False
2020-02-16,41,False
2020-02-23,24,False
2020-03-01,50,False
2020-03-08,72,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,52,False
2020-04-05,24,False
2020-04-12,31,False
2020-04-19,22,False
2020-04-26,43,False
2020-05-03,65,False
2020-05-10,23,False
