date,Schiebetor,isPartial
2018-01-07,23,False
2018-01-14,33,False
2018-01-21,0,False
2018-01-28,23,False
2018-02-04,46,False
2018-02-11,34,False
2018-02-18,34,False
2018-02-25,68,False
2018-03-04,92,False
2018-03-11,68,False
2018-03-18,23,False
2018-03-25,24,False
2018-04-01,49,False
2018-04-08,23,False
2018-04-15,72,False
2018-04-22,23,False
2018-04-29,24,False
2018-05-06,49,False
2018-05-13,23,False
2018-05-20,38,False
2018-05-27,25,False
2018-06-03,71,False
2018-06-10,68,False
2018-06-17,23,False
2018-06-24,47,False
2018-07-01,23,False
2018-07-08,0,False
2018-07-15,46,False
2018-07-22,24,False
2018-07-29,24,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,36,False
2018-09-16,23,False
2018-09-23,71,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,34,False
2018-10-21,67,False
2018-10-28,0,False
2018-11-04,66,False
2018-11-11,22,False
2018-11-18,0,False
2018-11-25,33,False
2018-12-02,22,False
2018-12-09,87,False
2018-12-16,45,False
2018-12-23,39,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,0,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,63,False
2019-02-10,21,False
2019-02-17,32,False
2019-02-24,22,False
2019-03-03,22,False
2019-03-10,31,False
2019-03-17,43,False
2019-03-24,65,False
2019-03-31,86,False
2019-04-07,21,False
2019-04-14,70,False
2019-04-21,34,False
2019-04-28,22,False
2019-05-05,42,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,66,False
2019-06-02,22,False
2019-06-09,46,False
2019-06-16,0,False
2019-06-23,55,False
2019-06-30,43,False
2019-07-07,21,False
2019-07-14,43,False
2019-07-21,23,False
2019-07-28,23,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,22,False
2019-09-08,43,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,32,False
2019-10-06,42,False
2019-10-13,21,False
2019-10-20,31,False
2019-10-27,41,False
2019-11-03,20,False
2019-11-10,40,False
2019-11-17,0,False
2019-11-24,20,False
2019-12-01,0,False
2019-12-08,100,False
2019-12-15,41,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,40,False
2020-01-12,19,False
2020-01-19,48,False
2020-01-26,19,False
2020-02-02,29,False
2020-02-09,19,False
2020-02-16,20,False
2020-02-23,19,False
2020-03-01,28,False
2020-03-08,35,False
2020-03-15,34,False
2020-03-22,42,False
2020-03-29,34,False
2020-04-05,56,False
2020-04-12,63,False
2020-04-19,61,False
2020-04-26,25,False
2020-05-03,34,False
2020-05-10,26,False
