date,Tür,isPartial
2018-01-07,67,False
2018-01-14,34,False
2018-01-21,23,False
2018-01-28,34,False
2018-02-04,45,False
2018-02-11,23,False
2018-02-18,32,False
2018-02-25,21,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,46,False
2018-04-01,23,False
2018-04-08,23,False
2018-04-15,71,False
2018-04-22,22,False
2018-04-29,23,False
2018-05-06,45,False
2018-05-13,22,False
2018-05-20,0,False
2018-05-27,44,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,21,False
2018-07-01,43,False
2018-07-08,21,False
2018-07-15,32,False
2018-07-22,21,False
2018-07-29,65,False
2018-08-05,20,False
2018-08-12,21,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,21,False
2018-09-09,62,False
2018-09-16,41,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,43,False
2018-10-14,32,False
2018-10-21,21,False
2018-10-28,31,False
2018-11-04,100,False
2018-11-11,51,False
2018-11-18,86,False
2018-11-25,50,False
2018-12-02,20,False
2018-12-09,49,False
2018-12-16,32,False
2018-12-23,43,False
2018-12-30,19,False
2019-01-06,56,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,28,False
2019-02-03,19,False
2019-02-10,20,False
2019-02-17,38,False
2019-02-24,38,False
2019-03-03,56,False
2019-03-10,38,False
2019-03-17,57,False
2019-03-24,19,False
2019-03-31,38,False
2019-04-07,65,False
2019-04-14,20,False
2019-04-21,39,False
2019-04-28,18,False
2019-05-05,0,False
2019-05-12,35,False
2019-05-19,54,False
2019-05-26,18,False
2019-06-02,37,False
2019-06-09,37,False
2019-06-16,0,False
2019-06-23,19,False
2019-06-30,47,False
2019-07-07,0,False
2019-07-14,19,False
2019-07-21,37,False
2019-07-28,18,False
2019-08-04,19,False
2019-08-11,18,False
2019-08-18,17,False
2019-08-25,34,False
2019-09-01,17,False
2019-09-08,45,False
2019-09-15,54,False
2019-09-22,0,False
2019-09-29,52,False
2019-10-06,35,False
2019-10-13,18,False
2019-10-20,26,False
2019-10-27,43,False
2019-11-03,65,False
2019-11-10,58,False
2019-11-17,34,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,35,False
2019-12-15,35,False
2019-12-22,36,False
2019-12-29,33,False
2020-01-05,32,False
2020-01-12,31,False
2020-01-19,40,False
2020-01-26,46,False
2020-02-02,31,False
2020-02-09,26,False
2020-02-16,24,False
2020-02-23,15,False
2020-03-01,23,False
2020-03-08,43,False
2020-03-15,13,False
2020-03-22,0,False
2020-03-29,38,False
2020-04-05,14,False
2020-04-12,13,False
2020-04-19,26,False
2020-04-26,13,False
2020-05-03,54,False
2020-05-10,41,False
2020-05-17,29,False
2020-05-24,40,False
2020-05-31,33,False
2020-06-07,96,False
2020-06-14,40,False
2020-06-21,43,False
2020-06-28,44,False
2020-07-05,31,False
