date,Make Up Hochzeit,isPartial
2018-01-07,27,False
2018-01-14,39,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,27,False
2018-02-11,40,False
2018-02-18,27,False
2018-02-25,66,False
2018-03-04,0,False
2018-03-11,67,False
2018-03-18,27,False
2018-03-25,0,False
2018-04-01,57,False
2018-04-08,68,False
2018-04-15,28,False
2018-04-22,54,False
2018-04-29,28,False
2018-05-06,56,False
2018-05-13,53,False
2018-05-20,14,False
2018-05-27,55,False
2018-06-03,55,False
2018-06-10,39,False
2018-06-17,40,False
2018-06-24,54,False
2018-07-01,80,False
2018-07-08,40,False
2018-07-15,69,False
2018-07-22,28,False
2018-07-29,56,False
2018-08-05,69,False
2018-08-12,56,False
2018-08-19,42,False
2018-08-26,28,False
2018-09-02,54,False
2018-09-09,41,False
2018-09-16,27,False
2018-09-23,14,False
2018-09-30,13,False
2018-10-07,27,False
2018-10-14,27,False
2018-10-21,0,False
2018-10-28,26,False
2018-11-04,26,False
2018-11-11,39,False
2018-11-18,13,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,42,False
2019-01-06,50,False
2019-01-13,73,False
2019-01-20,24,False
2019-01-27,37,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,13,False
2019-02-24,13,False
2019-03-03,25,False
2019-03-10,37,False
2019-03-17,26,False
2019-03-24,39,False
2019-03-31,39,False
2019-04-07,100,False
2019-04-14,14,False
2019-04-21,13,False
2019-04-28,63,False
2019-05-05,50,False
2019-05-12,26,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,25,False
2019-06-09,39,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,39,False
2019-07-07,0,False
2019-07-14,27,False
2019-07-21,28,False
2019-07-28,27,False
2019-08-04,40,False
2019-08-11,65,False
2019-08-18,13,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,38,False
2019-09-15,38,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,49,False
2019-10-13,25,False
2019-10-20,36,False
2019-10-27,36,False
2019-11-03,23,False
2019-11-10,12,False
2019-11-17,0,False
2019-11-24,35,False
2019-12-01,24,False
2019-12-08,12,False
2019-12-15,24,False
2019-12-22,14,False
2019-12-29,39,False
2020-01-05,23,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,0,False
2020-02-02,11,False
2020-02-09,22,False
2020-02-16,34,False
2020-02-23,0,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,0,False
2020-04-12,0,True
