date,matrimonio,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,26,False
2018-01-28,21,False
2018-02-04,24,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,19,False
2018-03-04,20,False
2018-03-11,22,False
2018-03-18,22,False
2018-03-25,22,False
2018-04-01,23,False
2018-04-08,28,False
2018-04-15,30,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,36,False
2018-05-13,100,False
2018-05-20,75,False
2018-05-27,41,False
2018-06-03,40,False
2018-06-10,37,False
2018-06-17,37,False
2018-06-24,37,False
2018-07-01,34,False
2018-07-08,33,False
2018-07-15,31,False
2018-07-22,32,False
2018-07-29,31,False
2018-08-05,32,False
2018-08-12,26,False
2018-08-19,35,False
2018-08-26,81,False
2018-09-02,76,False
2018-09-09,38,False
2018-09-16,34,False
2018-09-23,31,False
2018-09-30,26,False
2018-10-07,35,False
2018-10-14,24,False
2018-10-21,20,False
2018-10-28,19,False
2018-11-04,16,False
2018-11-11,18,False
2018-11-18,14,False
2018-11-25,17,False
2018-12-02,16,False
2018-12-09,14,False
2018-12-16,14,False
2018-12-23,20,False
2018-12-30,19,False
2019-01-06,19,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,20,False
2019-02-03,20,False
2019-02-10,19,False
2019-02-17,20,False
2019-02-24,21,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,21,False
2019-03-24,25,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,21,False
2019-04-21,30,False
2019-04-28,31,False
2019-05-05,33,False
2019-05-12,33,False
2019-05-19,36,False
2019-05-26,32,False
2019-06-02,34,False
2019-06-09,33,False
2019-06-16,34,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,28,False
2019-07-14,31,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,29,False
2019-08-11,24,False
2019-08-18,28,False
2019-08-25,33,False
2019-09-01,43,False
2019-09-08,45,False
2019-09-15,45,False
2019-09-22,42,False
2019-09-29,39,False
2019-10-06,29,False
2019-10-13,25,False
2019-10-20,21,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,16,False
2019-11-17,16,False
2019-11-24,16,False
2019-12-01,17,False
2019-12-08,16,False
2019-12-15,13,False
2019-12-22,19,False
2019-12-29,20,False
2020-01-05,19,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,19,False
2020-02-02,21,False
2020-02-09,22,False
2020-02-16,21,False
2020-02-23,15,False
2020-03-01,17,False
2020-03-08,10,False
2020-03-15,9,False
2020-03-22,10,False
2020-03-29,13,False
2020-04-05,13,False
2020-04-12,15,False
2020-04-19,16,False
2020-04-26,15,True
