date,phytothérapie,isPartial
2018-01-07,67,False
2018-01-14,83,False
2018-01-21,66,False
2018-01-28,34,False
2018-02-04,50,False
2018-02-11,34,False
2018-02-18,69,False
2018-02-25,0,False
2018-03-04,33,False
2018-03-11,57,False
2018-03-18,34,False
2018-03-25,34,False
2018-04-01,34,False
2018-04-08,63,False
2018-04-15,55,False
2018-04-22,70,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,33,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,34,False
2018-06-24,34,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,97,False
2018-07-22,79,False
2018-07-29,48,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,31,False
2018-08-26,0,False
2018-09-02,100,False
2018-09-09,45,False
2018-09-16,51,False
2018-09-23,87,False
2018-09-30,58,False
2018-10-07,45,False
2018-10-14,68,False
2018-10-21,36,False
2018-10-28,34,False
2018-11-04,66,False
2018-11-11,34,False
2018-11-18,0,False
2018-11-25,69,False
2018-12-02,53,False
2018-12-09,53,False
2018-12-16,36,False
2018-12-23,41,False
2018-12-30,38,False
2019-01-06,0,False
2019-01-13,69,False
2019-01-20,45,False
2019-01-27,33,False
2019-02-03,34,False
2019-02-10,86,False
2019-02-17,70,False
2019-02-24,60,False
2019-03-03,71,False
2019-03-10,71,False
2019-03-17,53,False
2019-03-24,53,False
2019-03-31,85,False
2019-04-07,34,False
2019-04-14,44,False
2019-04-21,33,False
2019-04-28,34,False
2019-05-05,33,False
2019-05-12,50,False
2019-05-19,66,False
2019-05-26,33,False
2019-06-02,32,False
2019-06-09,32,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,45,False
2019-07-21,29,False
2019-07-28,28,False
2019-08-04,28,False
2019-08-11,28,False
2019-08-18,66,False
2019-08-25,43,False
2019-09-01,30,False
2019-09-08,46,False
2019-09-15,60,False
2019-09-22,0,False
2019-09-29,62,False
2019-10-06,47,False
2019-10-13,51,False
2019-10-20,0,False
2019-10-27,60,False
2019-11-03,30,False
2019-11-10,31,False
2019-11-17,60,False
2019-11-24,60,False
2019-12-01,0,False
2019-12-08,40,False
2019-12-15,61,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,30,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,30,False
2020-02-02,60,False
2020-02-09,41,False
2020-02-16,58,False
2020-02-23,27,False
2020-03-01,55,False
2020-03-08,42,False
2020-03-15,25,False
2020-03-22,24,False
2020-03-29,40,False
2020-04-05,33,False
2020-04-12,49,False
2020-04-19,23,False
2020-04-26,23,False
2020-05-03,23,False
2020-05-10,32,False
2020-05-17,91,True
