date,phytothérapie,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,31,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,31,False
2018-03-18,48,False
2018-03-25,32,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,68,False
2018-05-06,33,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,65,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,67,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,54,False
2018-08-05,37,False
2018-08-12,55,False
2018-08-19,71,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,50,False
2018-09-23,34,False
2018-09-30,100,False
2018-10-07,34,False
2018-10-14,69,False
2018-10-21,51,False
2018-10-28,49,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,49,False
2018-12-16,33,False
2018-12-23,34,False
2018-12-30,50,False
2019-01-06,0,False
2019-01-13,31,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,64,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,64,False
2019-03-03,31,False
2019-03-10,0,False
2019-03-17,50,False
2019-03-24,33,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,65,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,32,False
2019-05-26,32,False
2019-06-02,92,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,34,False
2019-07-21,69,False
2019-07-28,35,False
2019-08-04,36,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,47,False
2019-09-08,31,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,58,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,58,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,29,False
2019-12-29,43,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,41,False
2020-02-09,27,False
2020-02-16,27,False
2020-02-23,40,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,37,False
2020-03-29,0,False
2020-04-05,38,False
2020-04-12,23,False
2020-04-19,34,False
2020-04-26,21,False
2020-05-03,32,False
2020-05-10,34,False
2020-05-17,0,True
