date,phytothérapie,isPartial
2018-01-07,28,False
2018-01-14,28,False
2018-01-21,0,False
2018-01-28,86,False
2018-02-04,100,False
2018-02-11,42,False
2018-02-18,28,False
2018-02-25,74,False
2018-03-04,87,False
2018-03-11,58,False
2018-03-18,87,False
2018-03-25,49,False
2018-04-01,68,False
2018-04-08,27,False
2018-04-15,50,False
2018-04-22,0,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,38,False
2018-05-20,58,False
2018-05-27,28,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,39,False
2018-06-24,47,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,57,False
2018-07-22,42,False
2018-07-29,28,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,38,False
2018-08-26,29,False
2018-09-02,29,False
2018-09-09,44,False
2018-09-16,68,False
2018-09-23,88,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,61,False
2018-10-21,62,False
2018-10-28,29,False
2018-11-04,86,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,30,False
2018-12-02,40,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,43,False
2019-01-06,50,False
2019-01-13,89,False
2019-01-20,29,False
2019-01-27,28,False
2019-02-03,59,False
2019-02-10,62,False
2019-02-17,61,False
2019-02-24,59,False
2019-03-03,29,False
2019-03-10,30,False
2019-03-17,45,False
2019-03-24,50,False
2019-03-31,29,False
2019-04-07,59,False
2019-04-14,40,False
2019-04-21,84,False
2019-04-28,38,False
2019-05-05,71,False
2019-05-12,57,False
2019-05-19,37,False
2019-05-26,42,False
2019-06-02,39,False
2019-06-09,53,False
2019-06-16,27,False
2019-06-23,54,False
2019-06-30,36,False
2019-07-07,94,False
2019-07-14,41,False
2019-07-21,28,False
2019-07-28,28,False
2019-08-04,69,False
2019-08-11,50,False
2019-08-18,35,False
2019-08-25,25,False
2019-09-01,26,False
2019-09-08,44,False
2019-09-15,53,False
2019-09-22,35,False
2019-09-29,36,False
2019-10-06,36,False
2019-10-13,35,False
2019-10-20,53,False
2019-10-27,53,False
2019-11-03,87,False
2019-11-10,26,False
2019-11-17,34,False
2019-11-24,63,False
2019-12-01,43,False
2019-12-08,69,False
2019-12-15,25,False
2019-12-22,38,False
2019-12-29,54,False
2020-01-05,49,False
2020-01-12,48,False
2020-01-19,25,False
2020-01-26,62,False
2020-02-02,49,False
2020-02-09,24,False
2020-02-16,65,False
2020-02-23,36,False
2020-03-01,46,False
2020-03-08,47,False
2020-03-15,21,False
2020-03-22,61,False
2020-03-29,68,False
2020-04-05,62,False
2020-04-12,53,False
2020-04-19,41,False
2020-04-26,49,False
2020-05-03,39,False
2020-05-10,51,False
2020-05-17,49,True
