date,fabricant de porte de garage,isPartial
2018-01-07,0,False
2018-01-14,93,False
2018-01-21,47,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,48,False
2018-02-18,97,False
2018-02-25,47,False
2018-03-04,48,False
2018-03-11,48,False
2018-03-18,48,False
2018-03-25,73,False
2018-04-01,0,False
2018-04-08,48,False
2018-04-15,52,False
2018-04-22,0,False
2018-04-29,49,False
2018-05-06,51,False
2018-05-13,48,False
2018-05-20,49,False
2018-05-27,0,False
2018-06-03,48,False
2018-06-10,46,False
2018-06-17,49,False
2018-06-24,49,False
2018-07-01,47,False
2018-07-08,0,False
2018-07-15,52,False
2018-07-22,52,False
2018-07-29,53,False
2018-08-05,52,False
2018-08-12,0,False
2018-08-19,52,False
2018-08-26,100,False
2018-09-02,49,False
2018-09-09,48,False
2018-09-16,0,False
2018-09-23,98,False
2018-09-30,49,False
2018-10-07,49,False
2018-10-14,49,False
2018-10-21,49,False
2018-10-28,0,False
2018-11-04,47,False
2018-11-11,47,False
2018-11-18,0,False
2018-11-25,48,False
2018-12-02,0,False
2018-12-09,48,False
2018-12-16,0,False
2018-12-23,55,False
2018-12-30,0,False
2019-01-06,48,False
2019-01-13,71,False
2019-01-20,0,False
2019-01-27,46,False
2019-02-03,69,False
2019-02-10,0,False
2019-02-17,49,False
2019-02-24,48,False
2019-03-03,46,False
2019-03-10,47,False
2019-03-17,49,False
2019-03-24,49,False
2019-03-31,48,False
2019-04-07,0,False
2019-04-14,74,False
2019-04-21,49,False
2019-04-28,47,False
2019-05-05,71,False
2019-05-12,47,False
2019-05-19,93,False
2019-05-26,0,False
2019-06-02,44,False
2019-06-09,45,False
2019-06-16,48,False
2019-06-23,47,False
2019-06-30,0,False
2019-07-07,47,False
2019-07-14,48,False
2019-07-21,50,False
2019-07-28,0,False
2019-08-04,51,False
2019-08-11,0,False
2019-08-18,75,False
2019-08-25,47,False
2019-09-01,0,False
2019-09-08,46,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,87,False
2019-10-06,0,False
2019-10-13,44,False
2019-10-20,44,False
2019-10-27,66,False
2019-11-03,86,False
2019-11-10,0,False
2019-11-17,43,False
2019-11-24,84,False
2019-12-01,42,False
2019-12-08,43,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,46,False
2020-01-05,83,False
2020-01-12,41,False
2020-01-19,42,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,83,False
2020-02-16,0,False
2020-02-23,80,False
2020-03-01,40,False
2020-03-08,0,False
2020-03-15,38,False
2020-03-22,0,False
2020-03-29,36,False
2020-04-05,37,False
2020-04-12,38,False
2020-04-19,37,False
2020-04-26,53,False
2020-05-03,0,False
2020-05-10,37,False
2020-05-17,0,True
