date,Klick Laminat verlegen,isPartial
2018-01-07,65,False
2018-01-14,55,False
2018-01-21,46,False
2018-01-28,56,False
2018-02-04,42,False
2018-02-11,66,False
2018-02-18,75,False
2018-02-25,56,False
2018-03-04,56,False
2018-03-11,74,False
2018-03-18,47,False
2018-03-25,60,False
2018-04-01,50,False
2018-04-08,58,False
2018-04-15,39,False
2018-04-22,56,False
2018-04-29,59,False
2018-05-06,74,False
2018-05-13,56,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,57,False
2018-06-10,36,False
2018-06-17,42,False
2018-06-24,29,False
2018-07-01,56,False
2018-07-08,42,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,29,False
2018-08-12,49,False
2018-08-19,29,False
2018-08-26,77,False
2018-09-02,100,False
2018-09-09,76,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,85,False
2018-10-07,38,False
2018-10-14,57,False
2018-10-21,46,False
2018-10-28,64,False
2018-11-04,27,False
2018-11-11,65,False
2018-11-18,53,False
2018-11-25,46,False
2018-12-02,54,False
2018-12-09,41,False
2018-12-16,38,False
2018-12-23,65,False
2018-12-30,73,False
2019-01-06,70,False
2019-01-13,60,False
2019-01-20,34,False
2019-01-27,51,False
2019-02-03,61,False
2019-02-10,40,False
2019-02-17,80,False
2019-02-24,55,False
2019-03-03,52,False
2019-03-10,52,False
2019-03-17,27,False
2019-03-24,36,False
2019-03-31,41,False
2019-04-07,44,False
2019-04-14,58,False
2019-04-21,71,False
2019-04-28,27,False
2019-05-05,65,False
2019-05-12,27,False
2019-05-19,27,False
2019-05-26,55,False
2019-06-02,53,False
2019-06-09,36,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,54,False
2019-07-07,27,False
2019-07-14,37,False
2019-07-21,73,False
2019-07-28,85,False
2019-08-04,57,False
2019-08-11,27,False
2019-08-18,41,False
2019-08-25,27,False
2019-09-01,53,False
2019-09-08,45,False
2019-09-15,45,False
2019-09-22,91,False
2019-09-29,79,False
2019-10-06,39,False
2019-10-13,51,False
2019-10-20,68,False
2019-10-27,25,False
2019-11-03,41,False
2019-11-10,50,False
2019-11-17,62,False
2019-11-24,41,False
2019-12-01,25,False
2019-12-08,37,False
2019-12-15,25,False
2019-12-22,73,False
2019-12-29,54,False
2020-01-05,36,False
2020-01-12,54,False
2020-01-19,48,False
2020-01-26,31,False
2020-02-02,47,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,35,False
2020-03-01,23,False
2020-03-08,22,False
2020-03-15,43,False
2020-03-22,42,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,36,False
2020-04-26,63,False
2020-05-03,29,False
2020-05-10,36,False
