date,trucco occhi verdi,isPartial
2018-01-07,27,False
2018-01-14,26,False
2018-01-21,51,False
2018-01-28,39,False
2018-02-04,52,False
2018-02-11,78,False
2018-02-18,25,False
2018-02-25,50,False
2018-03-04,24,False
2018-03-11,37,False
2018-03-18,25,False
2018-03-25,79,False
2018-04-01,54,False
2018-04-08,37,False
2018-04-15,38,False
2018-04-22,27,False
2018-04-29,52,False
2018-05-06,0,False
2018-05-13,49,False
2018-05-20,74,False
2018-05-27,25,False
2018-06-03,51,False
2018-06-10,38,False
2018-06-17,39,False
2018-06-24,0,False
2018-07-01,38,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,81,False
2018-07-29,56,False
2018-08-05,0,False
2018-08-12,52,False
2018-08-19,50,False
2018-08-26,27,False
2018-09-02,49,False
2018-09-09,24,False
2018-09-16,48,False
2018-09-23,49,False
2018-09-30,73,False
2018-10-07,49,False
2018-10-14,25,False
2018-10-21,48,False
2018-10-28,48,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,37,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,59,False
2018-12-30,57,False
2019-01-06,74,False
2019-01-13,35,False
2019-01-20,47,False
2019-01-27,23,False
2019-02-03,59,False
2019-02-10,0,False
2019-02-17,84,False
2019-02-24,37,False
2019-03-03,0,False
2019-03-10,49,False
2019-03-17,25,False
2019-03-24,0,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,51,False
2019-05-05,24,False
2019-05-12,72,False
2019-05-19,71,False
2019-05-26,23,False
2019-06-02,100,False
2019-06-09,37,False
2019-06-16,74,False
2019-06-23,51,False
2019-06-30,0,False
2019-07-07,25,False
2019-07-14,0,False
2019-07-21,53,False
2019-07-28,0,False
2019-08-04,60,False
2019-08-11,34,False
2019-08-18,62,False
2019-08-25,41,False
2019-09-01,47,False
2019-09-08,95,False
2019-09-15,35,False
2019-09-22,34,False
2019-09-29,34,False
2019-10-06,23,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,44,False
2019-11-10,22,False
2019-11-17,44,False
2019-11-24,54,False
2019-12-01,68,False
2019-12-08,34,False
2019-12-15,35,False
2019-12-22,28,False
2019-12-29,40,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,42,False
2020-02-02,62,False
2020-02-09,32,False
2020-02-16,21,False
2020-02-23,40,False
2020-03-01,40,False
2020-03-08,30,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,41,False
2020-04-12,21,False
2020-04-19,20,False
2020-04-26,51,True
