date,ritratti fotografici,isPartial
2018-01-07,54,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,53,False
2018-02-04,26,False
2018-02-11,53,False
2018-02-18,26,False
2018-02-25,100,False
2018-03-04,25,False
2018-03-11,26,False
2018-03-18,0,False
2018-03-25,55,False
2018-04-01,28,False
2018-04-08,52,False
2018-04-15,80,False
2018-04-22,28,False
2018-04-29,53,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,26,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,25,False
2018-06-17,53,False
2018-06-24,0,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,27,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,58,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,51,False
2018-10-07,53,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,39,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,40,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,31,False
2018-12-30,29,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,49,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,53,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,26,False
2019-04-14,40,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,50,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,52,False
2019-06-09,39,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,27,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,24,False
2019-09-08,25,False
2019-09-15,24,False
2019-09-22,48,False
2019-09-29,0,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,23,False
2019-11-10,35,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,73,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,34,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,21,False
2020-03-22,19,False
2020-03-29,39,False
2020-04-05,21,False
2020-04-12,31,False
2020-04-19,20,False
2020-04-26,34,True
