date,Hausfassade streichen,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,61,False
2018-02-11,30,False
2018-02-18,61,False
2018-02-25,45,False
2018-03-04,46,False
2018-03-11,0,False
2018-03-18,31,False
2018-03-25,43,False
2018-04-01,81,False
2018-04-08,63,False
2018-04-15,95,False
2018-04-22,61,False
2018-04-29,48,False
2018-05-06,64,False
2018-05-13,46,False
2018-05-20,48,False
2018-05-27,0,False
2018-06-03,46,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,63,False
2018-07-01,31,False
2018-07-08,30,False
2018-07-15,53,False
2018-07-22,53,False
2018-07-29,32,False
2018-08-05,47,False
2018-08-12,32,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,92,False
2018-09-09,31,False
2018-09-16,61,False
2018-09-23,93,False
2018-09-30,31,False
2018-10-07,41,False
2018-10-14,61,False
2018-10-21,30,False
2018-10-28,50,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,0,False
2019-01-20,28,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,72,False
2019-02-17,29,False
2019-02-24,78,False
2019-03-03,85,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,44,False
2019-03-31,58,False
2019-04-07,58,False
2019-04-14,42,False
2019-04-21,41,False
2019-04-28,0,False
2019-05-05,28,False
2019-05-12,48,False
2019-05-19,43,False
2019-05-26,29,False
2019-06-02,57,False
2019-06-09,0,False
2019-06-16,74,False
2019-06-23,30,False
2019-06-30,43,False
2019-07-07,58,False
2019-07-14,30,False
2019-07-21,42,False
2019-07-28,30,False
2019-08-04,46,False
2019-08-11,59,False
2019-08-18,0,False
2019-08-25,49,False
2019-09-01,43,False
2019-09-08,0,False
2019-09-15,29,False
2019-09-22,56,False
2019-09-29,0,False
2019-10-06,42,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,35,False
2019-11-10,27,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,32,False
2019-12-29,0,False
2020-01-05,52,False
2020-01-12,25,False
2020-01-19,51,False
2020-01-26,26,False
2020-02-02,34,False
2020-02-09,25,False
2020-02-16,39,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,46,False
2020-03-22,46,False
2020-03-29,35,False
2020-04-05,100,False
2020-04-12,72,False
2020-04-19,31,False
2020-04-26,68,False
2020-05-03,81,False
2020-05-10,39,False
2020-05-17,56,True
