date,cover band,isPartial
2018-01-07,22,False
2018-01-14,32,False
2018-01-21,0,False
2018-01-28,21,False
2018-02-04,32,False
2018-02-11,11,False
2018-02-18,10,False
2018-02-25,41,False
2018-03-04,10,False
2018-03-11,10,False
2018-03-18,10,False
2018-03-25,21,False
2018-04-01,11,False
2018-04-08,31,False
2018-04-15,21,False
2018-04-22,44,False
2018-04-29,32,False
2018-05-06,31,False
2018-05-13,40,False
2018-05-20,10,False
2018-05-27,0,False
2018-06-03,52,False
2018-06-10,71,False
2018-06-17,52,False
2018-06-24,53,False
2018-07-01,31,False
2018-07-08,32,False
2018-07-15,21,False
2018-07-22,76,False
2018-07-29,57,False
2018-08-05,37,False
2018-08-12,14,False
2018-08-19,55,False
2018-08-26,55,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,10,False
2018-09-23,20,False
2018-09-30,10,False
2018-10-07,0,False
2018-10-14,10,False
2018-10-21,10,False
2018-10-28,10,False
2018-11-04,47,False
2018-11-11,10,False
2018-11-18,19,False
2018-11-25,20,False
2018-12-02,10,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,71,False
2018-12-30,11,False
2019-01-06,20,False
2019-01-13,29,False
2019-01-20,0,False
2019-01-27,19,False
2019-02-03,58,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,50,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,10,False
2019-03-24,21,False
2019-03-31,20,False
2019-04-07,40,False
2019-04-14,21,False
2019-04-21,11,False
2019-04-28,31,False
2019-05-05,20,False
2019-05-12,29,False
2019-05-19,10,False
2019-05-26,38,False
2019-06-02,30,False
2019-06-09,100,False
2019-06-16,40,False
2019-06-23,31,False
2019-06-30,21,False
2019-07-07,20,False
2019-07-14,84,False
2019-07-21,22,False
2019-07-28,34,False
2019-08-04,24,False
2019-08-11,69,False
2019-08-18,76,False
2019-08-25,45,False
2019-09-01,0,False
2019-09-08,49,False
2019-09-15,38,False
2019-09-22,9,False
2019-09-29,28,False
2019-10-06,9,False
2019-10-13,28,False
2019-10-20,18,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,9,False
2019-11-17,27,False
2019-11-24,0,False
2019-12-01,37,False
2019-12-08,0,False
2019-12-15,19,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,28,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,9,False
2020-02-23,0,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,8,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,34,False
2020-04-19,16,False
2020-04-26,0,True
