date,cover band,isPartial
2018-01-07,41,False
2018-01-14,52,False
2018-01-21,30,False
2018-01-28,60,False
2018-02-04,20,False
2018-02-11,38,False
2018-02-18,18,False
2018-02-25,54,False
2018-03-04,36,False
2018-03-11,18,False
2018-03-18,18,False
2018-03-25,39,False
2018-04-01,20,False
2018-04-08,27,False
2018-04-15,38,False
2018-04-22,20,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,18,False
2018-05-20,18,False
2018-05-27,19,False
2018-06-03,58,False
2018-06-10,27,False
2018-06-17,27,False
2018-06-24,0,False
2018-07-01,38,False
2018-07-08,38,False
2018-07-15,68,False
2018-07-22,59,False
2018-07-29,78,False
2018-08-05,42,False
2018-08-12,74,False
2018-08-19,64,False
2018-08-26,44,False
2018-09-02,28,False
2018-09-09,37,False
2018-09-16,17,False
2018-09-23,18,False
2018-09-30,55,False
2018-10-07,28,False
2018-10-14,73,False
2018-10-21,37,False
2018-10-28,0,False
2018-11-04,52,False
2018-11-11,36,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,34,False
2018-12-09,19,False
2018-12-16,0,False
2018-12-23,25,False
2018-12-30,0,False
2019-01-06,41,False
2019-01-13,20,False
2019-01-20,47,False
2019-01-27,34,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,20,False
2019-02-24,36,False
2019-03-03,32,False
2019-03-10,31,False
2019-03-17,64,False
2019-03-24,20,False
2019-03-31,20,False
2019-04-07,19,False
2019-04-14,40,False
2019-04-21,46,False
2019-04-28,40,False
2019-05-05,54,False
2019-05-12,0,False
2019-05-19,39,False
2019-05-26,38,False
2019-06-02,20,False
2019-06-09,20,False
2019-06-16,42,False
2019-06-23,42,False
2019-06-30,32,False
2019-07-07,79,False
2019-07-14,54,False
2019-07-21,42,False
2019-07-28,80,False
2019-08-04,97,False
2019-08-11,40,False
2019-08-18,100,False
2019-08-25,44,False
2019-09-01,57,False
2019-09-08,79,False
2019-09-15,38,False
2019-09-22,58,False
2019-09-29,48,False
2019-10-06,0,False
2019-10-13,20,False
2019-10-20,38,False
2019-10-27,20,False
2019-11-03,0,False
2019-11-10,28,False
2019-11-17,19,False
2019-11-24,0,False
2019-12-01,20,False
2019-12-08,29,False
2019-12-15,20,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,39,False
2020-01-12,18,False
2020-01-19,55,False
2020-01-26,18,False
2020-02-02,36,False
2020-02-09,18,False
2020-02-16,37,False
2020-02-23,35,False
2020-03-01,0,False
2020-03-08,17,False
2020-03-15,18,False
2020-03-22,25,False
2020-03-29,17,False
2020-04-05,0,False
2020-04-12,18,False
2020-04-19,16,False
2020-04-26,29,True
