date,cover band,isPartial
2018-01-07,21,False
2018-01-14,20,False
2018-01-21,14,False
2018-01-28,26,False
2018-02-04,40,False
2018-02-11,13,False
2018-02-18,26,False
2018-02-25,0,False
2018-03-04,20,False
2018-03-11,27,False
2018-03-18,14,False
2018-03-25,14,False
2018-04-01,29,False
2018-04-08,14,False
2018-04-15,28,False
2018-04-22,14,False
2018-04-29,13,False
2018-05-06,13,False
2018-05-13,21,False
2018-05-20,14,False
2018-05-27,20,False
2018-06-03,14,False
2018-06-10,27,False
2018-06-17,27,False
2018-06-24,14,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,34,False
2018-07-22,21,False
2018-07-29,43,False
2018-08-05,15,False
2018-08-12,16,False
2018-08-19,30,False
2018-08-26,27,False
2018-09-02,13,False
2018-09-09,66,False
2018-09-16,27,False
2018-09-23,13,False
2018-09-30,20,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,14,False
2018-10-28,13,False
2018-11-04,39,False
2018-11-11,0,False
2018-11-18,13,False
2018-11-25,0,False
2018-12-02,14,False
2018-12-09,14,False
2018-12-16,15,False
2018-12-23,18,False
2018-12-30,49,False
2019-01-06,35,False
2019-01-13,13,False
2019-01-20,13,False
2019-01-27,0,False
2019-02-03,13,False
2019-02-10,40,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,14,False
2019-03-10,27,False
2019-03-17,0,False
2019-03-24,27,False
2019-03-31,0,False
2019-04-07,41,False
2019-04-14,14,False
2019-04-21,15,False
2019-04-28,21,False
2019-05-05,27,False
2019-05-12,13,False
2019-05-19,0,False
2019-05-26,25,False
2019-06-02,21,False
2019-06-09,14,False
2019-06-16,55,False
2019-06-23,28,False
2019-06-30,34,False
2019-07-07,100,False
2019-07-14,33,False
2019-07-21,34,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,47,False
2019-08-18,28,False
2019-08-25,25,False
2019-09-01,18,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,12,False
2019-10-06,19,False
2019-10-13,13,False
2019-10-20,12,False
2019-10-27,37,False
2019-11-03,12,False
2019-11-10,12,False
2019-11-17,24,False
2019-11-24,24,False
2019-12-01,37,False
2019-12-08,13,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,14,False
2020-01-05,12,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,11,False
2020-02-02,17,False
2020-02-09,35,False
2020-02-16,0,False
2020-02-23,11,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,11,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
