date,Gas Wasser Heizung,isPartial
2018-01-07,34,False
2018-01-14,34,False
2018-01-21,34,False
2018-01-28,34,False
2018-02-04,35,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,35,False
2018-03-11,35,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,36,False
2018-04-08,35,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,36,False
2018-05-13,34,False
2018-05-20,0,False
2018-05-27,69,False
2018-06-03,35,False
2018-06-10,33,False
2018-06-17,67,False
2018-06-24,35,False
2018-07-01,69,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,37,False
2018-08-05,0,False
2018-08-12,36,False
2018-08-19,0,False
2018-08-26,35,False
2018-09-02,70,False
2018-09-09,35,False
2018-09-16,0,False
2018-09-23,35,False
2018-09-30,71,False
2018-10-07,0,False
2018-10-14,35,False
2018-10-21,36,False
2018-10-28,68,False
2018-11-04,50,False
2018-11-11,34,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,33,False
2018-12-09,33,False
2018-12-16,34,False
2018-12-23,39,False
2018-12-30,36,False
2019-01-06,32,False
2019-01-13,0,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,31,False
2019-02-10,65,False
2019-02-17,0,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,65,False
2019-04-07,33,False
2019-04-14,72,False
2019-04-21,35,False
2019-04-28,0,False
2019-05-05,48,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,0,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,0,False
2019-08-11,34,False
2019-08-18,34,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,66,False
2019-09-15,100,False
2019-09-22,32,False
2019-09-29,32,False
2019-10-06,48,False
2019-10-13,32,False
2019-10-20,33,False
2019-10-27,47,False
2019-11-03,61,False
2019-11-10,51,False
2019-11-17,30,False
2019-11-24,30,False
2019-12-01,45,False
2019-12-08,30,False
2019-12-15,41,False
2019-12-22,35,False
2019-12-29,0,False
2020-01-05,58,False
2020-01-12,42,False
2020-01-19,44,False
2020-01-26,0,False
2020-02-02,29,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,53,False
2020-03-15,26,False
2020-03-22,53,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,27,False
2020-04-19,27,False
2020-04-26,51,False
2020-05-03,27,False
2020-05-10,27,False
