date,Gas Wasser Heizung,isPartial
2018-01-07,42,False
2018-01-14,72,False
2018-01-21,41,False
2018-01-28,41,False
2018-02-04,32,False
2018-02-11,42,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,52,False
2018-03-11,63,False
2018-03-18,53,False
2018-03-25,33,False
2018-04-01,45,False
2018-04-08,32,False
2018-04-15,22,False
2018-04-22,42,False
2018-04-29,44,False
2018-05-06,67,False
2018-05-13,21,False
2018-05-20,34,False
2018-05-27,43,False
2018-06-03,42,False
2018-06-10,21,False
2018-06-17,21,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,21,False
2018-07-15,22,False
2018-07-22,44,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,44,False
2018-08-19,22,False
2018-08-26,32,False
2018-09-02,86,False
2018-09-09,74,False
2018-09-16,42,False
2018-09-23,43,False
2018-09-30,42,False
2018-10-07,42,False
2018-10-14,32,False
2018-10-21,42,False
2018-10-28,52,False
2018-11-04,100,False
2018-11-11,42,False
2018-11-18,50,False
2018-11-25,31,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,49,False
2018-12-30,87,False
2019-01-06,49,False
2019-01-13,38,False
2019-01-20,57,False
2019-01-27,39,False
2019-02-03,60,False
2019-02-10,40,False
2019-02-17,61,False
2019-02-24,20,False
2019-03-03,39,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,71,False
2019-03-31,61,False
2019-04-07,30,False
2019-04-14,44,False
2019-04-21,0,False
2019-04-28,30,False
2019-05-05,19,False
2019-05-12,0,False
2019-05-19,40,False
2019-05-26,41,False
2019-06-02,20,False
2019-06-09,51,False
2019-06-16,62,False
2019-06-23,20,False
2019-06-30,30,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,55,False
2019-07-28,42,False
2019-08-04,21,False
2019-08-11,20,False
2019-08-18,21,False
2019-08-25,61,False
2019-09-01,20,False
2019-09-08,40,False
2019-09-15,30,False
2019-09-22,19,False
2019-09-29,39,False
2019-10-06,39,False
2019-10-13,58,False
2019-10-20,57,False
2019-10-27,38,False
2019-11-03,55,False
2019-11-10,74,False
2019-11-17,74,False
2019-11-24,0,False
2019-12-01,84,False
2019-12-08,19,False
2019-12-15,38,False
2019-12-22,22,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,43,False
2020-01-19,35,False
2020-01-26,35,False
2020-02-02,44,False
2020-02-09,35,False
2020-02-16,72,False
2020-02-23,44,False
2020-03-01,43,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,35,False
2020-04-12,50,False
2020-04-19,32,False
2020-04-26,16,False
2020-05-03,16,False
2020-05-10,49,False
