date,idee matrimonio,isPartial
2018-01-07,50,False
2018-01-14,0,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,49,False
2018-03-18,100,False
2018-03-25,0,False
2018-04-01,27,False
2018-04-08,24,False
2018-04-15,26,False
2018-04-22,79,False
2018-04-29,51,False
2018-05-06,49,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,56,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,30,False
2018-08-05,33,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,58,False
2018-09-02,55,False
2018-09-09,81,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,51,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,47,False
2019-04-07,0,False
2019-04-14,73,False
2019-04-21,54,False
2019-04-28,0,False
2019-05-05,48,False
2019-05-12,24,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,24,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,25,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,28,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,25,False
2019-09-01,90,False
2019-09-08,47,False
2019-09-15,22,False
2019-09-22,23,False
2019-09-29,93,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,0,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,40,False
2020-02-09,0,False
2020-02-16,41,False
2020-02-23,19,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,31,True
