date,idee matrimonio,isPartial
2018-01-07,47,False
2018-01-14,35,False
2018-01-21,48,False
2018-01-28,59,False
2018-02-04,23,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,46,False
2018-03-04,36,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,38,False
2018-04-01,40,False
2018-04-08,63,False
2018-04-15,75,False
2018-04-22,78,False
2018-04-29,38,False
2018-05-06,72,False
2018-05-13,63,False
2018-05-20,49,False
2018-05-27,52,False
2018-06-03,51,False
2018-06-10,58,False
2018-06-17,60,False
2018-06-24,25,False
2018-07-01,74,False
2018-07-08,25,False
2018-07-15,51,False
2018-07-22,26,False
2018-07-29,64,False
2018-08-05,27,False
2018-08-12,29,False
2018-08-19,88,False
2018-08-26,93,False
2018-09-02,75,False
2018-09-09,85,False
2018-09-16,83,False
2018-09-23,61,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,26,False
2018-10-21,49,False
2018-10-28,96,False
2018-11-04,37,False
2018-11-11,26,False
2018-11-18,64,False
2018-11-25,51,False
2018-12-02,27,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,86,False
2019-01-13,60,False
2019-01-20,45,False
2019-01-27,23,False
2019-02-03,35,False
2019-02-10,71,False
2019-02-17,23,False
2019-02-24,48,False
2019-03-03,25,False
2019-03-10,82,False
2019-03-17,25,False
2019-03-24,100,False
2019-03-31,61,False
2019-04-07,49,False
2019-04-14,0,False
2019-04-21,51,False
2019-04-28,60,False
2019-05-05,36,False
2019-05-12,60,False
2019-05-19,23,False
2019-05-26,45,False
2019-06-02,0,False
2019-06-09,52,False
2019-06-16,25,False
2019-06-23,65,False
2019-06-30,40,False
2019-07-07,38,False
2019-07-14,39,False
2019-07-21,39,False
2019-07-28,39,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,37,False
2019-09-01,23,False
2019-09-08,70,False
2019-09-15,68,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,69,False
2019-10-20,45,False
2019-10-27,0,False
2019-11-03,21,False
2019-11-10,56,False
2019-11-17,22,False
2019-11-24,45,False
2019-12-01,24,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,69,False
2020-01-12,87,False
2020-01-19,45,False
2020-01-26,43,False
2020-02-02,0,False
2020-02-09,44,False
2020-02-16,45,False
2020-02-23,62,False
2020-03-01,60,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,0,True
