date,idee matrimonio,isPartial
2018-01-07,21,False
2018-01-14,42,False
2018-01-21,42,False
2018-01-28,31,False
2018-02-04,20,False
2018-02-11,21,False
2018-02-18,54,False
2018-02-25,44,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,0,False
2018-04-15,56,False
2018-04-22,59,False
2018-04-29,69,False
2018-05-06,23,False
2018-05-13,56,False
2018-05-20,46,False
2018-05-27,59,False
2018-06-03,47,False
2018-06-10,21,False
2018-06-17,33,False
2018-06-24,44,False
2018-07-01,0,False
2018-07-08,33,False
2018-07-15,46,False
2018-07-22,66,False
2018-07-29,21,False
2018-08-05,94,False
2018-08-12,21,False
2018-08-19,100,False
2018-08-26,43,False
2018-09-02,43,False
2018-09-09,44,False
2018-09-16,63,False
2018-09-23,53,False
2018-09-30,21,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,22,False
2018-11-11,23,False
2018-11-18,34,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,35,False
2018-12-16,49,False
2018-12-23,26,False
2018-12-30,23,False
2019-01-06,44,False
2019-01-13,22,False
2019-01-20,20,False
2019-01-27,42,False
2019-02-03,41,False
2019-02-10,21,False
2019-02-17,32,False
2019-02-24,21,False
2019-03-03,45,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,54,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,66,False
2019-04-21,23,False
2019-04-28,32,False
2019-05-05,43,False
2019-05-12,31,False
2019-05-19,21,False
2019-05-26,40,False
2019-06-02,21,False
2019-06-09,33,False
2019-06-16,46,False
2019-06-23,44,False
2019-06-30,23,False
2019-07-07,44,False
2019-07-14,43,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,44,False
2019-08-18,20,False
2019-08-25,20,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,81,False
2019-09-22,62,False
2019-09-29,63,False
2019-10-06,21,False
2019-10-13,21,False
2019-10-20,20,False
2019-10-27,20,False
2019-11-03,20,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,43,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,20,False
2020-01-19,30,False
2020-01-26,20,False
2020-02-02,19,False
2020-02-09,31,False
2020-02-16,20,False
2020-02-23,49,False
2020-03-01,38,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
