date,Parkett schleifen,isPartial
2018-01-07,22,False
2018-01-14,36,False
2018-01-21,21,False
2018-01-28,33,False
2018-02-04,22,False
2018-02-11,82,False
2018-02-18,22,False
2018-02-25,22,False
2018-03-04,45,False
2018-03-11,0,False
2018-03-18,34,False
2018-03-25,32,False
2018-04-01,24,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,24,False
2018-05-13,38,False
2018-05-20,49,False
2018-05-27,24,False
2018-06-03,23,False
2018-06-10,22,False
2018-06-17,46,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,23,False
2018-07-29,72,False
2018-08-05,25,False
2018-08-12,100,False
2018-08-19,51,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,46,False
2018-09-16,45,False
2018-09-23,46,False
2018-09-30,23,False
2018-10-07,45,False
2018-10-14,45,False
2018-10-21,22,False
2018-10-28,34,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,32,False
2018-12-16,22,False
2018-12-23,26,False
2018-12-30,23,False
2019-01-06,34,False
2019-01-13,51,False
2019-01-20,34,False
2019-01-27,34,False
2019-02-03,27,False
2019-02-10,21,False
2019-02-17,21,False
2019-02-24,22,False
2019-03-03,28,False
2019-03-10,41,False
2019-03-17,32,False
2019-03-24,21,False
2019-03-31,21,False
2019-04-07,42,False
2019-04-14,30,False
2019-04-21,33,False
2019-04-28,86,False
2019-05-05,82,False
2019-05-12,21,False
2019-05-19,41,False
2019-05-26,32,False
2019-06-02,32,False
2019-06-09,22,False
2019-06-16,22,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,22,False
2019-07-28,67,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,35,False
2019-09-01,33,False
2019-09-08,43,False
2019-09-15,54,False
2019-09-22,52,False
2019-09-29,31,False
2019-10-06,0,False
2019-10-13,33,False
2019-10-20,20,False
2019-10-27,30,False
2019-11-03,68,False
2019-11-10,20,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,50,False
2019-12-08,39,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,29,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,28,False
2020-01-26,18,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,46,False
2020-03-01,24,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,58,False
2020-03-29,17,False
2020-04-05,55,False
2020-04-12,26,False
2020-04-19,34,False
2020-04-26,27,False
2020-05-03,22,False
2020-05-10,22,False
