date,Parkett schleifen,isPartial
2018-01-07,64,False
2018-01-14,0,False
2018-01-21,75,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,27,False
2018-02-18,53,False
2018-02-25,79,False
2018-03-04,27,False
2018-03-11,26,False
2018-03-18,27,False
2018-03-25,43,False
2018-04-01,29,False
2018-04-08,27,False
2018-04-15,37,False
2018-04-22,27,False
2018-04-29,100,False
2018-05-06,55,False
2018-05-13,26,False
2018-05-20,56,False
2018-05-27,28,False
2018-06-03,53,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,51,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,52,False
2018-08-05,27,False
2018-08-12,57,False
2018-08-19,0,False
2018-08-26,28,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,40,False
2018-09-23,67,False
2018-09-30,27,False
2018-10-07,65,False
2018-10-14,39,False
2018-10-21,26,False
2018-10-28,52,False
2018-11-04,50,False
2018-11-11,34,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,55,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,59,False
2019-01-27,36,False
2019-02-03,47,False
2019-02-10,36,False
2019-02-17,25,False
2019-02-24,25,False
2019-03-03,75,False
2019-03-10,49,False
2019-03-17,78,False
2019-03-24,64,False
2019-03-31,26,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,53,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,41,False
2019-05-19,24,False
2019-05-26,26,False
2019-06-02,50,False
2019-06-09,53,False
2019-06-16,26,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,37,False
2019-07-21,52,False
2019-07-28,25,False
2019-08-04,39,False
2019-08-11,27,False
2019-08-18,0,False
2019-08-25,26,False
2019-09-01,50,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,40,False
2019-09-29,25,False
2019-10-06,36,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,23,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,39,False
2019-11-24,46,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,30,False
2020-01-12,33,False
2020-01-19,22,False
2020-01-26,44,False
2020-02-02,43,False
2020-02-09,21,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,30,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,21,False
2020-04-26,30,False
2020-05-03,20,False
2020-05-10,31,False
