date,addobbi fiori matrimonio,isPartial
2018-01-07,51,False
2018-01-14,62,False
2018-01-21,37,False
2018-01-28,25,False
2018-02-04,49,False
2018-02-11,62,False
2018-02-18,48,False
2018-02-25,83,False
2018-03-04,24,False
2018-03-11,48,False
2018-03-18,24,False
2018-03-25,26,False
2018-04-01,53,False
2018-04-08,49,False
2018-04-15,25,False
2018-04-22,0,False
2018-04-29,38,False
2018-05-06,62,False
2018-05-13,25,False
2018-05-20,25,False
2018-05-27,25,False
2018-06-03,100,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,37,False
2018-07-01,61,False
2018-07-08,37,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,51,False
2018-08-05,53,False
2018-08-12,0,False
2018-08-19,41,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,24,False
2018-11-11,37,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,35,False
2019-02-17,48,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,61,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,50,False
2019-04-07,48,False
2019-04-14,0,False
2019-04-21,52,False
2019-04-28,49,False
2019-05-05,35,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,46,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,49,False
2019-06-23,25,False
2019-06-30,50,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,39,False
2019-08-25,36,False
2019-09-01,45,False
2019-09-08,24,False
2019-09-15,23,False
2019-09-22,34,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,63,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,64,False
2020-02-23,0,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,0,True
