date,technics,isPartial
2018-01-07,45,False
2018-01-14,22,False
2018-01-21,44,False
2018-01-28,32,False
2018-02-04,32,False
2018-02-11,22,False
2018-02-18,42,False
2018-02-25,100,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,32,False
2018-03-25,22,False
2018-04-01,45,False
2018-04-08,0,False
2018-04-15,44,False
2018-04-22,23,False
2018-04-29,21,False
2018-05-06,41,False
2018-05-13,43,False
2018-05-20,0,False
2018-05-27,22,False
2018-06-03,32,False
2018-06-10,20,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,41,False
2018-07-15,42,False
2018-07-22,21,False
2018-07-29,22,False
2018-08-05,33,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,32,False
2018-09-02,73,False
2018-09-09,21,False
2018-09-16,20,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,22,False
2018-10-14,44,False
2018-10-21,22,False
2018-10-28,31,False
2018-11-04,32,False
2018-11-11,22,False
2018-11-18,21,False
2018-11-25,86,False
2018-12-02,33,False
2018-12-09,45,False
2018-12-16,35,False
2018-12-23,81,False
2018-12-30,49,False
2019-01-06,34,False
2019-01-13,76,False
2019-01-20,31,False
2019-01-27,80,False
2019-02-03,21,False
2019-02-10,32,False
2019-02-17,43,False
2019-02-24,22,False
2019-03-03,22,False
2019-03-10,43,False
2019-03-17,22,False
2019-03-24,22,False
2019-03-31,64,False
2019-04-07,53,False
2019-04-14,33,False
2019-04-21,43,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,19,False
2019-06-02,0,False
2019-06-09,21,False
2019-06-16,0,False
2019-06-23,22,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,22,False
2019-08-04,22,False
2019-08-11,47,False
2019-08-18,21,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,19,False
2019-09-29,78,False
2019-10-06,30,False
2019-10-13,20,False
2019-10-20,0,False
2019-10-27,19,False
2019-11-03,76,False
2019-11-10,39,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,50,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,24,False
2019-12-29,44,False
2020-01-05,20,False
2020-01-12,37,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,37,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,31,False
2020-03-29,48,False
2020-04-05,25,False
2020-04-12,33,False
2020-04-19,32,False
2020-04-26,41,True
