date,technics,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,42,False
2018-01-28,55,False
2018-02-04,54,False
2018-02-11,55,False
2018-02-18,0,False
2018-02-25,26,False
2018-03-04,41,False
2018-03-11,28,False
2018-03-18,0,False
2018-03-25,58,False
2018-04-01,0,False
2018-04-08,28,False
2018-04-15,43,False
2018-04-22,0,False
2018-04-29,29,False
2018-05-06,28,False
2018-05-13,42,False
2018-05-20,28,False
2018-05-27,58,False
2018-06-03,29,False
2018-06-10,53,False
2018-06-17,27,False
2018-06-24,0,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,52,False
2018-08-12,24,False
2018-08-19,24,False
2018-08-26,24,False
2018-09-02,51,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,29,False
2018-10-14,29,False
2018-10-21,28,False
2018-10-28,57,False
2018-11-04,41,False
2018-11-11,57,False
2018-11-18,28,False
2018-11-25,0,False
2018-12-02,45,False
2018-12-09,29,False
2018-12-16,58,False
2018-12-23,61,False
2018-12-30,55,False
2019-01-06,54,False
2019-01-13,54,False
2019-01-20,38,False
2019-01-27,100,False
2019-02-03,24,False
2019-02-10,50,False
2019-02-17,26,False
2019-02-24,26,False
2019-03-03,0,False
2019-03-10,26,False
2019-03-17,27,False
2019-03-24,26,False
2019-03-31,78,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,54,False
2019-04-28,75,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,50,False
2019-05-26,48,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,78,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,37,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,35,False
2019-09-08,24,False
2019-09-15,47,False
2019-09-22,0,False
2019-09-29,48,False
2019-10-06,25,False
2019-10-13,49,False
2019-10-20,73,False
2019-10-27,73,False
2019-11-03,47,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,70,False
2019-12-01,49,False
2019-12-08,0,False
2019-12-15,49,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,70,False
2020-01-26,57,False
2020-02-02,66,False
2020-02-09,23,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,36,False
2020-03-29,55,False
2020-04-05,30,False
2020-04-12,0,False
2020-04-19,18,False
2020-04-26,33,True
