date,Musica Rilassante,isPartial
2018-01-07,17,False
2018-01-14,25,False
2018-01-21,17,False
2018-01-28,34,False
2018-02-04,17,False
2018-02-11,25,False
2018-02-18,16,False
2018-02-25,40,False
2018-03-04,16,False
2018-03-11,0,False
2018-03-18,49,False
2018-03-25,85,False
2018-04-01,35,False
2018-04-08,24,False
2018-04-15,26,False
2018-04-22,34,False
2018-04-29,47,False
2018-05-06,32,False
2018-05-13,24,False
2018-05-20,48,False
2018-05-27,0,False
2018-06-03,23,False
2018-06-10,36,False
2018-06-17,22,False
2018-06-24,0,False
2018-07-01,46,False
2018-07-08,40,False
2018-07-15,13,False
2018-07-22,32,False
2018-07-29,26,False
2018-08-05,24,False
2018-08-12,38,False
2018-08-19,19,False
2018-08-26,14,False
2018-09-02,26,False
2018-09-09,13,False
2018-09-16,19,False
2018-09-23,28,False
2018-09-30,15,False
2018-10-07,39,False
2018-10-14,24,False
2018-10-21,50,False
2018-10-28,41,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,57,False
2018-11-25,25,False
2018-12-02,17,False
2018-12-09,51,False
2018-12-16,36,False
2018-12-23,39,False
2018-12-30,19,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,16,False
2019-01-27,56,False
2019-02-03,49,False
2019-02-10,17,False
2019-02-17,34,False
2019-02-24,32,False
2019-03-03,53,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,43,False
2019-03-31,17,False
2019-04-07,33,False
2019-04-14,50,False
2019-04-21,26,False
2019-04-28,33,False
2019-05-05,40,False
2019-05-12,16,False
2019-05-19,47,False
2019-05-26,23,False
2019-06-02,79,False
2019-06-09,38,False
2019-06-16,15,False
2019-06-23,30,False
2019-06-30,30,False
2019-07-07,28,False
2019-07-14,28,False
2019-07-21,14,False
2019-07-28,14,False
2019-08-04,20,False
2019-08-11,25,False
2019-08-18,12,False
2019-08-25,48,False
2019-09-01,19,False
2019-09-08,26,False
2019-09-15,27,False
2019-09-22,63,False
2019-09-29,36,False
2019-10-06,29,False
2019-10-13,83,False
2019-10-20,50,False
2019-10-27,60,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,66,False
2019-11-24,48,False
2019-12-01,100,False
2019-12-08,37,False
2019-12-15,44,False
2019-12-22,58,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,53,False
2020-01-19,26,False
2020-01-26,66,False
2020-02-02,52,False
2020-02-09,34,False
2020-02-16,40,False
2020-02-23,19,False
2020-03-01,31,False
2020-03-08,23,False
2020-03-15,47,False
2020-03-22,17,False
2020-03-29,23,False
2020-04-05,49,False
2020-04-12,61,False
2020-04-19,28,False
2020-04-26,20,True
