date,Musica Rilassante,isPartial
2018-01-07,29,False
2018-01-14,21,False
2018-01-21,0,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,28,False
2018-02-18,13,False
2018-02-25,39,False
2018-03-04,27,False
2018-03-11,28,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,68,False
2018-04-08,21,False
2018-04-15,22,False
2018-04-22,23,False
2018-04-29,36,False
2018-05-06,28,False
2018-05-13,35,False
2018-05-20,14,False
2018-05-27,15,False
2018-06-03,21,False
2018-06-10,69,False
2018-06-17,14,False
2018-06-24,28,False
2018-07-01,0,False
2018-07-08,14,False
2018-07-15,21,False
2018-07-22,14,False
2018-07-29,14,False
2018-08-05,21,False
2018-08-12,14,False
2018-08-19,0,False
2018-08-26,13,False
2018-09-02,0,False
2018-09-09,28,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,100,False
2018-10-07,30,False
2018-10-14,15,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,42,False
2018-11-11,29,False
2018-11-18,14,False
2018-11-25,28,False
2018-12-02,29,False
2018-12-09,14,False
2018-12-16,14,False
2018-12-23,48,False
2018-12-30,15,False
2019-01-06,27,False
2019-01-13,33,False
2019-01-20,19,False
2019-01-27,37,False
2019-02-03,38,False
2019-02-10,26,False
2019-02-17,51,False
2019-02-24,13,False
2019-03-03,20,False
2019-03-10,13,False
2019-03-17,33,False
2019-03-24,39,False
2019-03-31,52,False
2019-04-07,33,False
2019-04-14,41,False
2019-04-21,47,False
2019-04-28,65,False
2019-05-05,31,False
2019-05-12,24,False
2019-05-19,12,False
2019-05-26,24,False
2019-06-02,13,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,19,False
2019-06-30,13,False
2019-07-07,24,False
2019-07-14,19,False
2019-07-21,13,False
2019-07-28,25,False
2019-08-04,39,False
2019-08-11,13,False
2019-08-18,12,False
2019-08-25,35,False
2019-09-01,12,False
2019-09-08,0,False
2019-09-15,37,False
2019-09-22,24,False
2019-09-29,18,False
2019-10-06,37,False
2019-10-13,43,False
2019-10-20,24,False
2019-10-27,12,False
2019-11-03,29,False
2019-11-10,36,False
2019-11-17,36,False
2019-11-24,29,False
2019-12-01,30,False
2019-12-08,43,False
2019-12-15,38,False
2019-12-22,21,False
2019-12-29,34,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,17,False
2020-01-26,11,False
2020-02-02,22,False
2020-02-09,35,False
2020-02-16,23,False
2020-02-23,16,False
2020-03-01,10,False
2020-03-08,35,False
2020-03-15,39,False
2020-03-22,37,False
2020-03-29,33,False
2020-04-05,50,False
2020-04-12,35,False
2020-04-19,19,False
2020-04-26,16,True
