date,Hochzeitstag Bilder,isPartial
2018-01-07,0,False
2018-01-14,40,False
2018-01-21,0,False
2018-01-28,41,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,41,False
2018-03-25,0,False
2018-04-01,42,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,42,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,66,False
2018-05-27,40,False
2018-06-03,42,False
2018-06-10,40,False
2018-06-17,0,False
2018-06-24,83,False
2018-07-01,43,False
2018-07-08,0,False
2018-07-15,66,False
2018-07-22,43,False
2018-07-29,0,False
2018-08-05,59,False
2018-08-12,40,False
2018-08-19,41,False
2018-08-26,0,False
2018-09-02,42,False
2018-09-09,41,False
2018-09-16,41,False
2018-09-23,61,False
2018-09-30,43,False
2018-10-07,43,False
2018-10-14,0,False
2018-10-21,79,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,39,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,39,False
2018-12-09,39,False
2018-12-16,0,False
2018-12-23,42,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,37,False
2019-02-10,0,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,40,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,37,False
2019-05-12,0,False
2019-05-19,38,False
2019-05-26,39,False
2019-06-02,38,False
2019-06-09,38,False
2019-06-16,0,False
2019-06-23,58,False
2019-06-30,38,False
2019-07-07,38,False
2019-07-14,0,False
2019-07-21,42,False
2019-07-28,79,False
2019-08-04,40,False
2019-08-11,37,False
2019-08-18,76,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,37,False
2019-09-15,0,False
2019-09-22,73,False
2019-09-29,36,False
2019-10-06,0,False
2019-10-13,70,False
2019-10-20,35,False
2019-10-27,34,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,100,False
2019-11-24,0,False
2019-12-01,35,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,32,False
2020-01-12,31,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,28,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
