date,Hochzeitstag Bilder,isPartial
2018-01-07,32,False
2018-01-14,15,False
2018-01-21,16,False
2018-01-28,47,False
2018-02-04,16,False
2018-02-11,0,False
2018-02-18,16,False
2018-02-25,24,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,40,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,16,False
2018-04-15,33,False
2018-04-22,31,False
2018-04-29,66,False
2018-05-06,0,False
2018-05-13,47,False
2018-05-20,34,False
2018-05-27,16,False
2018-06-03,47,False
2018-06-10,15,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,54,False
2018-07-08,23,False
2018-07-15,49,False
2018-07-22,49,False
2018-07-29,17,False
2018-08-05,17,False
2018-08-12,25,False
2018-08-19,16,False
2018-08-26,32,False
2018-09-02,16,False
2018-09-09,48,False
2018-09-16,40,False
2018-09-23,16,False
2018-09-30,49,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,24,False
2018-10-28,47,False
2018-11-04,23,False
2018-11-11,16,False
2018-11-18,15,False
2018-11-25,15,False
2018-12-02,15,False
2018-12-09,38,False
2018-12-16,23,False
2018-12-23,18,False
2018-12-30,16,False
2019-01-06,15,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,22,False
2019-02-17,0,False
2019-02-24,15,False
2019-03-03,15,False
2019-03-10,29,False
2019-03-17,15,False
2019-03-24,0,False
2019-03-31,15,False
2019-04-07,15,False
2019-04-14,17,False
2019-04-21,16,False
2019-04-28,23,False
2019-05-05,52,False
2019-05-12,15,False
2019-05-19,22,False
2019-05-26,0,False
2019-06-02,15,False
2019-06-09,46,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,38,False
2019-07-07,0,False
2019-07-14,16,False
2019-07-21,34,False
2019-07-28,17,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,32,False
2019-08-25,15,False
2019-09-01,22,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,22,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,15,False
2019-10-20,15,False
2019-10-27,58,False
2019-11-03,14,False
2019-11-10,14,False
2019-11-17,14,False
2019-11-24,27,False
2019-12-01,42,False
2019-12-08,35,False
2019-12-15,28,False
2019-12-22,16,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,13,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,0,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,12,False
2020-04-05,26,False
2020-04-12,100,True
