date,Hochzeit Restaurant,isPartial
2018-01-07,22,False
2018-01-14,21,False
2018-01-21,32,False
2018-01-28,33,False
2018-02-04,22,False
2018-02-11,55,False
2018-02-18,22,False
2018-02-25,22,False
2018-03-04,56,False
2018-03-11,22,False
2018-03-18,22,False
2018-03-25,23,False
2018-04-01,24,False
2018-04-08,23,False
2018-04-15,0,False
2018-04-22,45,False
2018-04-29,24,False
2018-05-06,47,False
2018-05-13,45,False
2018-05-20,73,False
2018-05-27,48,False
2018-06-03,34,False
2018-06-10,22,False
2018-06-17,22,False
2018-06-24,45,False
2018-07-01,44,False
2018-07-08,33,False
2018-07-15,45,False
2018-07-22,0,False
2018-07-29,36,False
2018-08-05,48,False
2018-08-12,50,False
2018-08-19,100,False
2018-08-26,49,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,45,False
2018-09-23,57,False
2018-09-30,46,False
2018-10-07,22,False
2018-10-14,45,False
2018-10-21,22,False
2018-10-28,66,False
2018-11-04,32,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,42,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,0,False
2018-12-23,63,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,30,False
2019-01-20,40,False
2019-01-27,20,False
2019-02-03,51,False
2019-02-10,0,False
2019-02-17,21,False
2019-02-24,21,False
2019-03-03,32,False
2019-03-10,41,False
2019-03-17,21,False
2019-03-24,42,False
2019-03-31,21,False
2019-04-07,82,False
2019-04-14,45,False
2019-04-21,22,False
2019-04-28,84,False
2019-05-05,61,False
2019-05-12,62,False
2019-05-19,20,False
2019-05-26,21,False
2019-06-02,42,False
2019-06-09,22,False
2019-06-16,44,False
2019-06-23,0,False
2019-06-30,41,False
2019-07-07,60,False
2019-07-14,53,False
2019-07-21,22,False
2019-07-28,55,False
2019-08-04,47,False
2019-08-11,45,False
2019-08-18,46,False
2019-08-25,47,False
2019-09-01,54,False
2019-09-08,43,False
2019-09-15,21,False
2019-09-22,31,False
2019-09-29,21,False
2019-10-06,30,False
2019-10-13,20,False
2019-10-20,39,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,20,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,19,False
2019-12-15,80,False
2019-12-22,45,False
2019-12-29,44,False
2020-01-05,86,False
2020-01-12,45,False
2020-01-19,28,False
2020-01-26,36,False
2020-02-02,37,False
2020-02-09,0,False
2020-02-16,38,False
2020-02-23,28,False
2020-03-01,36,False
2020-03-08,34,False
2020-03-15,17,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,0,True
