date,Hochzeit Restaurant,isPartial
2018-01-07,57,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,0,False
2018-02-04,29,False
2018-02-11,57,False
2018-02-18,29,False
2018-02-25,29,False
2018-03-04,57,False
2018-03-11,57,False
2018-03-18,29,False
2018-03-25,0,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,31,False
2018-04-29,0,False
2018-05-06,46,False
2018-05-13,29,False
2018-05-20,31,False
2018-05-27,31,False
2018-06-03,30,False
2018-06-10,44,False
2018-06-17,30,False
2018-06-24,78,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,64,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,0,False
2018-08-12,31,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,29,False
2018-09-09,29,False
2018-09-16,59,False
2018-09-23,0,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,28,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,60,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,43,False
2019-02-03,28,False
2019-02-10,100,False
2019-02-17,57,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,29,False
2019-04-14,31,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,27,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,30,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,44,False
2019-06-30,30,False
2019-07-07,59,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,42,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,43,False
2019-09-22,0,False
2019-09-29,45,False
2019-10-06,0,False
2019-10-13,27,False
2019-10-20,26,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,53,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,32,False
2019-12-29,60,False
2020-01-05,54,False
2020-01-12,0,False
2020-01-19,26,False
2020-01-26,51,False
2020-02-02,0,False
2020-02-09,25,False
2020-02-16,52,False
2020-02-23,25,False
2020-03-01,50,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,95,True
