date,torta cocco,isPartial
2018-01-07,0,False
2018-01-14,29,False
2018-01-21,28,False
2018-01-28,85,False
2018-02-04,55,False
2018-02-11,41,False
2018-02-18,42,False
2018-02-25,52,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,28,False
2018-03-25,56,False
2018-04-01,57,False
2018-04-08,54,False
2018-04-15,0,False
2018-04-22,28,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,0,False
2018-05-20,55,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,52,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,52,False
2018-07-08,26,False
2018-07-15,26,False
2018-07-22,25,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,25,False
2018-08-19,52,False
2018-08-26,0,False
2018-09-02,54,False
2018-09-09,27,False
2018-09-16,0,False
2018-09-23,69,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,29,False
2018-10-21,42,False
2018-10-28,27,False
2018-11-04,27,False
2018-11-11,0,False
2018-11-18,28,False
2018-11-25,43,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,29,False
2019-01-13,55,False
2019-01-20,26,False
2019-01-27,25,False
2019-02-03,0,False
2019-02-10,40,False
2019-02-17,56,False
2019-02-24,54,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,26,False
2019-04-07,26,False
2019-04-14,27,False
2019-04-21,24,False
2019-04-28,38,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,50,False
2019-05-26,36,False
2019-06-02,78,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,47,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,49,False
2019-09-15,36,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,36,False
2019-10-20,34,False
2019-10-27,24,False
2019-11-03,46,False
2019-11-10,48,False
2019-11-17,23,False
2019-11-24,47,False
2019-12-01,24,False
2019-12-08,25,False
2019-12-15,50,False
2019-12-22,59,False
2019-12-29,26,False
2020-01-05,100,False
2020-01-12,23,False
2020-01-19,74,False
2020-01-26,24,False
2020-02-02,47,False
2020-02-09,36,False
2020-02-16,48,False
2020-02-23,22,False
2020-03-01,0,False
2020-03-08,41,False
2020-03-15,74,False
2020-03-22,40,False
2020-03-29,61,False
2020-04-05,42,False
2020-04-12,43,False
2020-04-19,30,False
2020-04-26,0,True
