Year,ticket_geo_region_name,Spend_type,Distribution
2018,Baden-Württemberg,Hochzeit Kosten,0.69
2018,Baden-Württemberg,Hochzeit günstig,0.31
2018,Bayern,Hochzeit Kosten,0.71
2018,Bayern,Hochzeit günstig,0.29
2018,Berlin,Hochzeit Kosten,0.59
2018,Berlin,Hochzeit günstig,0.41
2018,Brandenburg,Hochzeit Kosten,1.0
2018,Brandenburg,Hochzeit günstig,0.0
2018,Bremen,Hochzeit Kosten,1.0
2018,Bremen,Hochzeit günstig,0.0
2018,Deutschland,Hochzeit Kosten,0.73
2018,Deutschland,Hochzeit günstig,0.27
2018,Hamburg,Hochzeit Kosten,1.0
2018,Hamburg,Hochzeit günstig,0.0
2018,Hessen,Hochzeit Kosten,0.71
2018,Hessen,Hochzeit günstig,0.29
2018,Niedersachsen,Hochzeit Kosten,0.67
2018,Niedersachsen,Hochzeit günstig,0.33
2018,Mecklenburg-Vorpommern,Hochzeit Kosten,1.0
2018,Mecklenburg-Vorpommern,Hochzeit günstig,0.0
2018,Nordrhein-Westfalen,Hochzeit Kosten,0.71
2018,Nordrhein-Westfalen,Hochzeit günstig,0.29
2018,Rheinland-Pfalz,Hochzeit Kosten,0.66
2018,Rheinland-Pfalz,Hochzeit günstig,0.34
2018,Saarland,Hochzeit Kosten,1.0
2018,Saarland,Hochzeit günstig,0.0
2018,Sachsen,Hochzeit Kosten,0.72
2018,Sachsen,Hochzeit günstig,0.28
2018,Sachsen-Anhalt,Hochzeit Kosten,1.0
2018,Sachsen-Anhalt,Hochzeit günstig,0.0
2018,Schleswig-Holstein,Hochzeit Kosten,0.75
2018,Schleswig-Holstein,Hochzeit günstig,0.25
2018,Thüringen,Hochzeit Kosten,1.0
2018,Thüringen,Hochzeit günstig,0.0
2019,Baden-Württemberg,Hochzeit Kosten,0.78
2019,Baden-Württemberg,Hochzeit günstig,0.22
2019,Bayern,Hochzeit Kosten,0.74
2019,Bayern,Hochzeit günstig,0.26
2019,Berlin,Hochzeit Kosten,0.69
2019,Berlin,Hochzeit günstig,0.31
2019,Brandenburg,Hochzeit Kosten,1.0
2019,Brandenburg,Hochzeit günstig,0.0
2019,Bremen,Hochzeit Kosten,1.0
2019,Bremen,Hochzeit günstig,0.0
2019,Deutschland,Hochzeit Kosten,0.79
2019,Deutschland,Hochzeit günstig,0.21
2019,Hamburg,Hochzeit Kosten,1.0
2019,Hamburg,Hochzeit günstig,0.0
2019,Hessen,Hochzeit Kosten,0.82
2019,Hessen,Hochzeit günstig,0.18
2019,Niedersachsen,Hochzeit Kosten,0.71
2019,Niedersachsen,Hochzeit günstig,0.29
2019,Mecklenburg-Vorpommern,Hochzeit Kosten,1.0
2019,Mecklenburg-Vorpommern,Hochzeit günstig,0.0
2019,Nordrhein-Westfalen,Hochzeit Kosten,0.74
2019,Nordrhein-Westfalen,Hochzeit günstig,0.26
2019,Rheinland-Pfalz,Hochzeit Kosten,0.73
2019,Rheinland-Pfalz,Hochzeit günstig,0.27
2019,Saarland,Hochzeit Kosten,1.0
2019,Saarland,Hochzeit günstig,0.0
2019,Sachsen,Hochzeit Kosten,0.71
2019,Sachsen,Hochzeit günstig,0.29
2019,Sachsen-Anhalt,Hochzeit Kosten,1.0
2019,Sachsen-Anhalt,Hochzeit günstig,0.0
2019,Schleswig-Holstein,Hochzeit Kosten,0.82
2019,Schleswig-Holstein,Hochzeit günstig,0.18
2019,Thüringen,Hochzeit Kosten,1.0
2019,Thüringen,Hochzeit günstig,0.0
2020,Baden-Württemberg,Hochzeit Kosten,0.77
2020,Baden-Württemberg,Hochzeit günstig,0.23
2020,Bayern,Hochzeit Kosten,0.79
2020,Bayern,Hochzeit günstig,0.21
2020,Berlin,Hochzeit Kosten,0.87
2020,Berlin,Hochzeit günstig,0.13
2020,Brandenburg,Hochzeit Kosten,1.0
2020,Brandenburg,Hochzeit günstig,0.0
2020,Bremen,Hochzeit Kosten,1.0
2020,Bremen,Hochzeit günstig,0.0
2020,Deutschland,Hochzeit Kosten,0.83
2020,Deutschland,Hochzeit günstig,0.17
2020,Hamburg,Hochzeit Kosten,1.0
2020,Hamburg,Hochzeit günstig,0.0
2020,Hessen,Hochzeit Kosten,0.8
2020,Hessen,Hochzeit günstig,0.2
2020,Niedersachsen,Hochzeit Kosten,0.73
2020,Niedersachsen,Hochzeit günstig,0.27
2020,Mecklenburg-Vorpommern,Hochzeit Kosten,1.0
2020,Mecklenburg-Vorpommern,Hochzeit günstig,0.0
2020,Nordrhein-Westfalen,Hochzeit Kosten,0.77
2020,Nordrhein-Westfalen,Hochzeit günstig,0.23
2020,Rheinland-Pfalz,Hochzeit Kosten,0.75
2020,Rheinland-Pfalz,Hochzeit günstig,0.25
2020,Saarland,Hochzeit Kosten,1.0
2020,Saarland,Hochzeit günstig,0.0
2020,Sachsen,Hochzeit Kosten,0.77
2020,Sachsen,Hochzeit günstig,0.23
2020,Sachsen-Anhalt,Hochzeit Kosten,1.0
2020,Sachsen-Anhalt,Hochzeit günstig,0.0
2020,Schleswig-Holstein,Hochzeit Kosten,0.71
2020,Schleswig-Holstein,Hochzeit günstig,0.29
2020,Thüringen,Hochzeit Kosten,1.0
2020,Thüringen,Hochzeit günstig,0.0
