date,inviti matrimonio,isPartial
2018-01-07,65,False
2018-01-14,39,False
2018-01-21,26,False
2018-01-28,51,False
2018-02-04,49,False
2018-02-11,25,False
2018-02-18,37,False
2018-02-25,23,False
2018-03-04,50,False
2018-03-11,77,False
2018-03-18,37,False
2018-03-25,52,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,0,False
2018-04-22,27,False
2018-04-29,79,False
2018-05-06,26,False
2018-05-13,0,False
2018-05-20,26,False
2018-05-27,27,False
2018-06-03,40,False
2018-06-10,48,False
2018-06-17,37,False
2018-06-24,37,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,49,False
2018-07-29,0,False
2018-08-05,24,False
2018-08-12,22,False
2018-08-19,43,False
2018-08-26,22,False
2018-09-02,24,False
2018-09-09,49,False
2018-09-16,0,False
2018-09-23,51,False
2018-09-30,0,False
2018-10-07,27,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,26,False
2018-12-16,53,False
2018-12-23,0,False
2018-12-30,64,False
2019-01-06,100,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,68,False
2019-02-10,46,False
2019-02-17,59,False
2019-02-24,47,False
2019-03-03,50,False
2019-03-10,48,False
2019-03-17,0,False
2019-03-24,48,False
2019-03-31,48,False
2019-04-07,35,False
2019-04-14,74,False
2019-04-21,0,False
2019-04-28,69,False
2019-05-05,24,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,22,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,37,False
2019-06-23,24,False
2019-06-30,72,False
2019-07-07,45,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,45,False
2019-08-25,22,False
2019-09-01,32,False
2019-09-08,44,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,44,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,90,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,22,False
2019-11-17,33,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,92,False
2020-01-05,22,False
2020-01-12,31,False
2020-01-19,32,False
2020-01-26,73,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,32,False
2020-02-23,30,False
2020-03-01,20,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,18,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,0,True
