date,inviti matrimonio,isPartial
2018-01-07,87,False
2018-01-14,74,False
2018-01-21,42,False
2018-01-28,53,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,82,False
2018-02-25,60,False
2018-03-04,78,False
2018-03-11,40,False
2018-03-18,51,False
2018-03-25,42,False
2018-04-01,22,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,32,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,50,False
2018-05-20,20,False
2018-05-27,51,False
2018-06-03,0,False
2018-06-10,51,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,32,False
2018-07-22,65,False
2018-07-29,57,False
2018-08-05,37,False
2018-08-12,70,False
2018-08-19,55,False
2018-08-26,22,False
2018-09-02,30,False
2018-09-09,20,False
2018-09-16,29,False
2018-09-23,30,False
2018-09-30,20,False
2018-10-07,80,False
2018-10-14,20,False
2018-10-21,19,False
2018-10-28,20,False
2018-11-04,38,False
2018-11-11,29,False
2018-11-18,29,False
2018-11-25,30,False
2018-12-02,40,False
2018-12-09,29,False
2018-12-16,20,False
2018-12-23,36,False
2018-12-30,34,False
2019-01-06,70,False
2019-01-13,57,False
2019-01-20,76,False
2019-01-27,47,False
2019-02-03,48,False
2019-02-10,19,False
2019-02-17,68,False
2019-02-24,20,False
2019-03-03,49,False
2019-03-10,20,False
2019-03-17,100,False
2019-03-24,20,False
2019-03-31,41,False
2019-04-07,20,False
2019-04-14,62,False
2019-04-21,34,False
2019-04-28,51,False
2019-05-05,20,False
2019-05-12,19,False
2019-05-19,38,False
2019-05-26,28,False
2019-06-02,20,False
2019-06-09,30,False
2019-06-16,60,False
2019-06-23,41,False
2019-06-30,31,False
2019-07-07,62,False
2019-07-14,21,False
2019-07-21,32,False
2019-07-28,22,False
2019-08-04,24,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,22,False
2019-09-01,29,False
2019-09-08,29,False
2019-09-15,37,False
2019-09-22,46,False
2019-09-29,19,False
2019-10-06,28,False
2019-10-13,37,False
2019-10-20,18,False
2019-10-27,37,False
2019-11-03,18,False
2019-11-10,36,False
2019-11-17,45,False
2019-11-24,35,False
2019-12-01,55,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,45,False
2019-12-29,22,False
2020-01-05,37,False
2020-01-12,60,False
2020-01-19,71,False
2020-01-26,17,False
2020-02-02,84,False
2020-02-09,35,False
2020-02-16,34,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,16,False
2020-03-15,17,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,17,False
2020-04-19,0,False
2020-04-26,0,True
