date,desatascador tuberías,isPartial
2018-01-07,39,False
2018-01-14,39,False
2018-01-21,38,False
2018-01-28,0,False
2018-02-04,56,False
2018-02-11,39,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,39,False
2018-03-25,0,False
2018-04-01,39,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,74,False
2018-04-29,38,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,37,False
2018-06-10,36,False
2018-06-17,0,False
2018-06-24,39,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,80,False
2018-08-05,40,False
2018-08-12,41,False
2018-08-19,41,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,37,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,37,False
2018-11-18,35,False
2018-11-25,37,False
2018-12-02,77,False
2018-12-09,38,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,42,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,35,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,37,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,38,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,36,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,37,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,36,False
2019-06-16,37,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,38,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,40,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,34,False
2019-09-22,35,False
2019-09-29,34,False
2019-10-06,0,False
2019-10-13,33,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,49,False
2019-11-24,32,False
2019-12-01,34,False
2019-12-08,35,False
2019-12-15,33,False
2019-12-22,74,False
2019-12-29,0,False
2020-01-05,100,False
2020-01-12,31,False
2020-01-19,31,False
2020-01-26,0,False
2020-02-02,32,False
2020-02-09,32,False
2020-02-16,32,False
2020-02-23,31,False
2020-03-01,30,False
2020-03-08,60,False
2020-03-15,29,False
2020-03-22,28,False
2020-03-29,0,False
2020-04-05,29,False
2020-04-12,28,False
2020-04-19,27,False
2020-04-26,28,False
2020-05-03,0,False
2020-05-10,27,False
2020-05-17,66,True
