date,entrepreneur peintre,isPartial
2018-01-07,48,False
2018-01-14,56,False
2018-01-21,100,False
2018-01-28,48,False
2018-02-04,28,False
2018-02-11,43,False
2018-02-18,29,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,29,False
2018-03-18,0,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,44,False
2018-04-15,31,False
2018-04-22,40,False
2018-04-29,30,False
2018-05-06,31,False
2018-05-13,58,False
2018-05-20,30,False
2018-05-27,86,False
2018-06-03,29,False
2018-06-10,37,False
2018-06-17,29,False
2018-06-24,44,False
2018-07-01,57,False
2018-07-08,45,False
2018-07-15,31,False
2018-07-22,52,False
2018-07-29,0,False
2018-08-05,32,False
2018-08-12,44,False
2018-08-19,95,False
2018-08-26,30,False
2018-09-02,60,False
2018-09-09,44,False
2018-09-16,39,False
2018-09-23,44,False
2018-09-30,39,False
2018-10-07,30,False
2018-10-14,59,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,43,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,67,False
2018-12-30,32,False
2019-01-06,38,False
2019-01-13,29,False
2019-01-20,37,False
2019-01-27,46,False
2019-02-03,28,False
2019-02-10,44,False
2019-02-17,50,False
2019-02-24,29,False
2019-03-03,86,False
2019-03-10,29,False
2019-03-17,89,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,29,False
2019-04-14,59,False
2019-04-21,44,False
2019-04-28,85,False
2019-05-05,0,False
2019-05-12,43,False
2019-05-19,42,False
2019-05-26,29,False
2019-06-02,68,False
2019-06-09,37,False
2019-06-16,29,False
2019-06-23,28,False
2019-06-30,57,False
2019-07-07,0,False
2019-07-14,44,False
2019-07-21,45,False
2019-07-28,62,False
2019-08-04,61,False
2019-08-11,51,False
2019-08-18,46,False
2019-08-25,28,False
2019-09-01,0,False
2019-09-08,83,False
2019-09-15,55,False
2019-09-22,53,False
2019-09-29,53,False
2019-10-06,27,False
2019-10-13,36,False
2019-10-20,36,False
2019-10-27,27,False
2019-11-03,52,False
2019-11-10,53,False
2019-11-17,52,False
2019-11-24,25,False
2019-12-01,51,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,42,False
2020-01-12,33,False
2020-01-19,60,False
2020-01-26,38,False
2020-02-02,42,False
2020-02-09,87,False
2020-02-16,25,False
2020-02-23,65,False
2020-03-01,40,False
2020-03-08,72,False
2020-03-15,38,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,22,False
2020-04-12,34,False
2020-04-19,33,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,60,False
2020-05-17,83,True
