date,stage anglais,isPartial
2018-01-07,31,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,20,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,41,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,40,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,0,False
2018-05-06,22,False
2018-05-13,41,False
2018-05-20,0,False
2018-05-27,30,False
2018-06-03,20,False
2018-06-10,30,False
2018-06-17,27,False
2018-06-24,21,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,24,False
2018-08-12,36,False
2018-08-19,23,False
2018-08-26,0,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,41,False
2018-09-30,21,False
2018-10-07,63,False
2018-10-14,21,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,40,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,19,False
2019-01-27,46,False
2019-02-03,19,False
2019-02-10,20,False
2019-02-17,21,False
2019-02-24,20,False
2019-03-03,39,False
2019-03-10,19,False
2019-03-17,20,False
2019-03-24,21,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,21,False
2019-04-21,20,False
2019-04-28,0,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,18,False
2019-06-02,17,False
2019-06-09,27,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,18,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,22,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,20,False
2019-09-22,17,False
2019-09-29,22,False
2019-10-06,49,False
2019-10-13,16,False
2019-10-20,0,False
2019-10-27,17,False
2019-11-03,48,False
2019-11-10,16,False
2019-11-17,24,False
2019-11-24,31,False
2019-12-01,17,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,32,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,31,False
2020-02-09,15,False
2020-02-16,32,False
2020-02-23,32,False
2020-03-01,32,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,28,False
2020-04-05,14,False
2020-04-12,21,False
2020-04-19,14,False
2020-04-26,13,False
2020-05-03,0,False
2020-05-10,14,False
2020-05-17,29,False
2020-05-24,14,False
2020-05-31,0,False
2020-06-07,14,False
2020-06-14,0,False
2020-06-21,54,True
