date,Lüftungsanlagen,isPartial
2018-01-07,48,False
2018-01-14,39,False
2018-01-21,56,False
2018-01-28,60,False
2018-02-04,86,False
2018-02-11,48,False
2018-02-18,24,False
2018-02-25,59,False
2018-03-04,33,False
2018-03-11,72,False
2018-03-18,24,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,32,False
2018-04-15,87,False
2018-04-22,23,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,0,False
2018-05-20,26,False
2018-05-27,36,False
2018-06-03,36,False
2018-06-10,31,False
2018-06-17,47,False
2018-06-24,36,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,41,False
2018-07-22,25,False
2018-07-29,39,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,50,False
2018-08-26,24,False
2018-09-02,49,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,49,False
2018-09-30,37,False
2018-10-07,49,False
2018-10-14,25,False
2018-10-21,33,False
2018-10-28,24,False
2018-11-04,35,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,46,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,67,False
2018-12-30,25,False
2019-01-06,56,False
2019-01-13,33,False
2019-01-20,44,False
2019-01-27,22,False
2019-02-03,22,False
2019-02-10,34,False
2019-02-17,46,False
2019-02-24,31,False
2019-03-03,23,False
2019-03-10,29,False
2019-03-17,47,False
2019-03-24,39,False
2019-03-31,38,False
2019-04-07,23,False
2019-04-14,38,False
2019-04-21,37,False
2019-04-28,31,False
2019-05-05,100,False
2019-05-12,46,False
2019-05-19,45,False
2019-05-26,47,False
2019-06-02,23,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,23,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,51,False
2019-08-11,24,False
2019-08-18,48,False
2019-08-25,69,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,30,False
2019-10-06,44,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,28,False
2019-11-17,35,False
2019-11-24,56,False
2019-12-01,21,False
2019-12-08,63,False
2019-12-15,43,False
2019-12-22,25,False
2019-12-29,0,False
2020-01-05,41,False
2020-01-12,26,False
2020-01-19,20,False
2020-01-26,51,False
2020-02-02,27,False
2020-02-09,39,False
2020-02-16,41,False
2020-02-23,39,False
2020-03-01,39,False
2020-03-08,37,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,27,False
2020-04-05,40,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,36,False
2020-05-03,31,False
2020-05-10,46,False
2020-05-17,44,True
