date,spose,isPartial
2018-01-07,54,False
2018-01-14,31,False
2018-01-21,64,False
2018-01-28,64,False
2018-02-04,32,False
2018-02-11,56,False
2018-02-18,38,False
2018-02-25,22,False
2018-03-04,16,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,100,False
2018-04-01,33,False
2018-04-08,33,False
2018-04-15,17,False
2018-04-22,61,False
2018-04-29,31,False
2018-05-06,31,False
2018-05-13,42,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,31,False
2018-06-10,22,False
2018-06-17,48,False
2018-06-24,33,False
2018-07-01,48,False
2018-07-08,48,False
2018-07-15,49,False
2018-07-22,24,False
2018-07-29,16,False
2018-08-05,31,False
2018-08-12,14,False
2018-08-19,23,False
2018-08-26,38,False
2018-09-02,24,False
2018-09-09,17,False
2018-09-16,32,False
2018-09-23,16,False
2018-09-30,24,False
2018-10-07,34,False
2018-10-14,18,False
2018-10-21,61,False
2018-10-28,17,False
2018-11-04,50,False
2018-11-11,17,False
2018-11-18,34,False
2018-11-25,17,False
2018-12-02,18,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,39,False
2018-12-30,34,False
2019-01-06,66,False
2019-01-13,25,False
2019-01-20,31,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,80,False
2019-02-17,33,False
2019-02-24,33,False
2019-03-03,26,False
2019-03-10,34,False
2019-03-17,27,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,35,False
2019-04-14,54,False
2019-04-21,18,False
2019-04-28,17,False
2019-05-05,17,False
2019-05-12,33,False
2019-05-19,17,False
2019-05-26,78,False
2019-06-02,18,False
2019-06-09,26,False
2019-06-16,52,False
2019-06-23,17,False
2019-06-30,60,False
2019-07-07,32,False
2019-07-14,25,False
2019-07-21,25,False
2019-07-28,24,False
2019-08-04,16,False
2019-08-11,30,False
2019-08-18,14,False
2019-08-25,41,False
2019-09-01,52,False
2019-09-08,24,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,45,False
2019-10-06,46,False
2019-10-13,78,False
2019-10-20,52,False
2019-10-27,30,False
2019-11-03,28,False
2019-11-10,57,False
2019-11-17,22,False
2019-11-24,50,False
2019-12-01,22,False
2019-12-08,15,False
2019-12-15,15,False
2019-12-22,41,False
2019-12-29,31,False
2020-01-05,72,False
2020-01-12,54,False
2020-01-19,28,False
2020-01-26,61,False
2020-02-02,40,False
2020-02-09,28,False
2020-02-16,41,False
2020-02-23,65,False
2020-03-01,26,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,34,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,26,False
2020-04-19,12,False
2020-04-26,0,True
