date,spose,isPartial
2018-01-07,74,False
2018-01-14,74,False
2018-01-21,58,False
2018-01-28,0,False
2018-02-04,73,False
2018-02-11,44,False
2018-02-18,29,False
2018-02-25,57,False
2018-03-04,28,False
2018-03-11,29,False
2018-03-18,28,False
2018-03-25,30,False
2018-04-01,0,False
2018-04-08,42,False
2018-04-15,0,False
2018-04-22,60,False
2018-04-29,55,False
2018-05-06,28,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,42,False
2018-06-03,27,False
2018-06-10,100,False
2018-06-17,39,False
2018-06-24,24,False
2018-07-01,46,False
2018-07-08,23,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,32,False
2018-08-12,22,False
2018-08-19,22,False
2018-08-26,47,False
2018-09-02,23,False
2018-09-09,56,False
2018-09-16,22,False
2018-09-23,49,False
2018-09-30,26,False
2018-10-07,28,False
2018-10-14,28,False
2018-10-21,29,False
2018-10-28,28,False
2018-11-04,28,False
2018-11-11,59,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,31,False
2018-12-23,51,False
2018-12-30,33,False
2019-01-06,74,False
2019-01-13,58,False
2019-01-20,83,False
2019-01-27,28,False
2019-02-03,58,False
2019-02-10,59,False
2019-02-17,59,False
2019-02-24,28,False
2019-03-03,31,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,0,False
2019-03-31,44,False
2019-04-07,28,False
2019-04-14,0,False
2019-04-21,30,False
2019-04-28,29,False
2019-05-05,28,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,66,False
2019-06-02,0,False
2019-06-09,40,False
2019-06-16,65,False
2019-06-23,52,False
2019-06-30,0,False
2019-07-07,25,False
2019-07-14,48,False
2019-07-21,49,False
2019-07-28,48,False
2019-08-04,23,False
2019-08-11,88,False
2019-08-18,20,False
2019-08-25,42,False
2019-09-01,22,False
2019-09-08,47,False
2019-09-15,24,False
2019-09-22,61,False
2019-09-29,25,False
2019-10-06,51,False
2019-10-13,53,False
2019-10-20,25,False
2019-10-27,39,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,38,False
2019-11-24,24,False
2019-12-01,25,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,73,False
2020-01-12,23,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,45,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,32,False
2020-04-12,21,False
2020-04-19,20,False
2020-04-26,0,True
