date,paysagiste conseil,isPartial
2018-01-07,46,False
2018-01-14,89,False
2018-01-21,45,False
2018-01-28,46,False
2018-02-04,45,False
2018-02-11,46,False
2018-02-18,0,False
2018-02-25,46,False
2018-03-04,69,False
2018-03-11,0,False
2018-03-18,46,False
2018-03-25,70,False
2018-04-01,47,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,49,False
2018-05-13,46,False
2018-05-20,48,False
2018-05-27,46,False
2018-06-03,46,False
2018-06-10,89,False
2018-06-17,47,False
2018-06-24,46,False
2018-07-01,90,False
2018-07-08,47,False
2018-07-15,50,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,100,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,47,False
2018-09-16,94,False
2018-09-23,71,False
2018-09-30,47,False
2018-10-07,95,False
2018-10-14,47,False
2018-10-21,48,False
2018-10-28,95,False
2018-11-04,46,False
2018-11-11,91,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,46,False
2018-12-09,46,False
2018-12-16,0,False
2018-12-23,53,False
2018-12-30,50,False
2019-01-06,0,False
2019-01-13,45,False
2019-01-20,88,False
2019-01-27,44,False
2019-02-03,44,False
2019-02-10,47,False
2019-02-17,71,False
2019-02-24,0,False
2019-03-03,45,False
2019-03-10,45,False
2019-03-17,47,False
2019-03-24,47,False
2019-03-31,0,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,47,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,45,False
2019-05-26,46,False
2019-06-02,42,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,45,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,47,False
2019-07-21,48,False
2019-07-28,49,False
2019-08-04,49,False
2019-08-11,49,False
2019-08-18,49,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,88,False
2019-09-15,87,False
2019-09-22,42,False
2019-09-29,42,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,42,False
2019-10-27,0,False
2019-11-03,83,False
2019-11-10,41,False
2019-11-17,0,False
2019-11-24,61,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,40,False
2020-01-26,0,False
2020-02-02,40,False
2020-02-09,79,False
2020-02-16,40,False
2020-02-23,38,False
2020-03-01,58,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,35,False
2020-04-26,34,False
2020-05-03,0,False
2020-05-10,36,False
2020-05-17,45,True
