date,Fliegengitter,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,20,False
2018-01-28,0,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,21,False
2018-04-01,22,False
2018-04-08,32,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,65,False
2018-05-06,64,False
2018-05-13,30,False
2018-05-20,32,False
2018-05-27,22,False
2018-06-03,41,False
2018-06-10,58,False
2018-06-17,20,False
2018-06-24,60,False
2018-07-01,20,False
2018-07-08,20,False
2018-07-15,32,False
2018-07-22,42,False
2018-07-29,55,False
2018-08-05,52,False
2018-08-12,55,False
2018-08-19,62,False
2018-08-26,20,False
2018-09-02,41,False
2018-09-09,0,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,0,False
2018-10-07,31,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,18,False
2019-01-27,19,False
2019-02-03,36,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,28,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,58,False
2019-03-24,19,False
2019-03-31,30,False
2019-04-07,19,False
2019-04-14,41,False
2019-04-21,40,False
2019-04-28,57,False
2019-05-05,36,False
2019-05-12,19,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,59,False
2019-06-09,70,False
2019-06-16,100,False
2019-06-23,30,False
2019-06-30,79,False
2019-07-07,38,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,20,False
2019-08-04,21,False
2019-08-11,50,False
2019-08-18,58,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,19,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,28,False
2020-02-23,34,False
2020-03-01,17,False
2020-03-08,24,False
2020-03-15,15,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,25,False
2020-04-12,63,False
2020-04-19,53,False
2020-04-26,23,False
2020-05-03,40,False
2020-05-10,78,False
2020-05-17,52,False
2020-05-24,39,False
2020-05-31,41,False
2020-06-07,42,False
2020-06-14,55,False
2020-06-21,34,False
2020-06-28,17,False
2020-07-05,53,False
