date,Fliegengitter,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,10,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,19,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,19,False
2018-03-18,0,False
2018-03-25,10,False
2018-04-01,21,False
2018-04-08,20,False
2018-04-15,41,False
2018-04-22,20,False
2018-04-29,20,False
2018-05-06,40,False
2018-05-13,10,False
2018-05-20,30,False
2018-05-27,30,False
2018-06-03,29,False
2018-06-10,9,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,0,False
2018-07-08,10,False
2018-07-15,10,False
2018-07-22,10,False
2018-07-29,20,False
2018-08-05,19,False
2018-08-12,10,False
2018-08-19,10,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,19,False
2018-09-16,28,False
2018-09-23,0,False
2018-09-30,10,False
2018-10-07,9,False
2018-10-14,10,False
2018-10-21,10,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,9,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,26,False
2019-02-24,9,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,9,False
2019-03-24,18,False
2019-03-31,9,False
2019-04-07,27,False
2019-04-14,10,False
2019-04-21,36,False
2019-04-28,26,False
2019-05-05,8,False
2019-05-12,17,False
2019-05-19,8,False
2019-05-26,25,False
2019-06-02,26,False
2019-06-09,100,False
2019-06-16,72,False
2019-06-23,35,False
2019-06-30,36,False
2019-07-07,26,False
2019-07-14,36,False
2019-07-21,37,False
2019-07-28,27,False
2019-08-04,28,False
2019-08-11,44,False
2019-08-18,33,False
2019-08-25,49,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,8,False
2019-09-29,16,False
2019-10-06,0,False
2019-10-13,17,False
2019-10-20,0,False
2019-10-27,8,False
2019-11-03,8,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,0,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,15,False
2020-02-02,8,False
2020-02-09,15,False
2020-02-16,8,False
2020-02-23,7,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,13,False
2020-03-29,25,False
2020-04-05,42,False
2020-04-12,53,False
2020-04-19,33,False
2020-04-26,47,False
2020-05-03,13,False
2020-05-10,27,False
2020-05-17,29,False
2020-05-24,13,False
2020-05-31,27,False
2020-06-07,28,False
2020-06-14,41,False
2020-06-21,43,False
2020-06-28,29,False
2020-07-05,86,False
