date,Fliegengitter,isPartial
2018-01-07,8,False
2018-01-14,8,False
2018-01-21,17,False
2018-01-28,8,False
2018-02-04,14,False
2018-02-11,9,False
2018-02-18,17,False
2018-02-25,9,False
2018-03-04,26,False
2018-03-11,8,False
2018-03-18,8,False
2018-03-25,0,False
2018-04-01,14,False
2018-04-08,30,False
2018-04-15,46,False
2018-04-22,37,False
2018-04-29,40,False
2018-05-06,41,False
2018-05-13,35,False
2018-05-20,27,False
2018-05-27,54,False
2018-06-03,74,False
2018-06-10,76,False
2018-06-17,8,False
2018-06-24,13,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,14,False
2018-07-22,24,False
2018-07-29,51,False
2018-08-05,64,False
2018-08-12,67,False
2018-08-19,10,False
2018-08-26,23,False
2018-09-02,27,False
2018-09-09,9,False
2018-09-16,9,False
2018-09-23,18,False
2018-09-30,25,False
2018-10-07,20,False
2018-10-14,16,False
2018-10-21,16,False
2018-10-28,9,False
2018-11-04,0,False
2018-11-11,8,False
2018-11-18,0,False
2018-11-25,16,False
2018-12-02,8,False
2018-12-09,0,False
2018-12-16,8,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,16,False
2019-01-27,8,False
2019-02-03,13,False
2019-02-10,8,False
2019-02-17,21,False
2019-02-24,17,False
2019-03-03,25,False
2019-03-10,16,False
2019-03-17,30,False
2019-03-24,47,False
2019-03-31,34,False
2019-04-07,46,False
2019-04-14,28,False
2019-04-21,42,False
2019-04-28,42,False
2019-05-05,33,False
2019-05-12,16,False
2019-05-19,29,False
2019-05-26,38,False
2019-06-02,65,False
2019-06-09,100,False
2019-06-16,92,False
2019-06-23,53,False
2019-06-30,63,False
2019-07-07,46,False
2019-07-14,38,False
2019-07-21,60,False
2019-07-28,30,False
2019-08-04,40,False
2019-08-11,30,False
2019-08-18,24,False
2019-08-25,32,False
2019-09-01,9,False
2019-09-08,22,False
2019-09-15,25,False
2019-09-22,16,False
2019-09-29,0,False
2019-10-06,8,False
2019-10-13,16,False
2019-10-20,23,False
2019-10-27,12,False
2019-11-03,15,False
2019-11-10,15,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,11,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,9,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,7,False
2020-02-02,24,False
2020-02-09,8,False
2020-02-16,7,False
2020-02-23,10,False
2020-03-01,28,False
2020-03-08,14,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,39,False
2020-04-05,47,False
2020-04-12,73,False
2020-04-19,63,False
2020-04-26,40,False
2020-05-03,46,False
2020-05-10,38,False
2020-05-17,65,False
2020-05-24,26,False
2020-05-31,30,False
2020-06-07,65,False
2020-06-14,33,False
2020-06-21,48,False
2020-06-28,86,False
2020-07-05,35,False
